name,img,otherName,intro
八角枫,http://p.ayxbk.com/images/thumb/e/e4/Bk6xr.jpg/220px-Bk6xr.jpg,（白金条[侧根名]、白龙须[须状根名]、八角王、八角梧桐、八角将军、割舌罗、五角枫、七角枫、野罗桐、花冠木）,祛风除湿，舒筋活络，散淤止痛。用于风湿关节通，跌打损伤，精神分裂症。
八角茴香,http://p.ayxbk.com/images/thumb/f/fe/Bkmcp.jpg/220px-Bkmcp.jpg,（大茴香、大料、五香八角、舶上茴香、舶茴香、茴香八角珠、八角香、八角大茴、八角、原油茴、大八角、八角珠、八月珠）,温中理气，健胃止呕。用于呕吐，腹胀，腹痛，疝气痛。
八角金盘,http://p.ayxbk.com/images/thumb/e/ee/Bkbz9.jpg/220px-Bkbz9.jpg,（手树、金刚纂）,化痰止咳；散风除湿；化瘀止痛。主咳嗽痰多；风湿痹痛；痛风；跌打损伤
八角莲,http://p.ayxbk.com/images/thumb/c/c4/Bkg1t.jpg/220px-Bkg1t.jpg,（一把伞、六角莲、独叶一枝花、独脚莲[江西]、一碗水[陕西]、八角七、八角兵盘七、鬼臼、八角连、金魁莲、旱八角、叶下花、马眼莲、八角盘、独脚莲、独角莲、八角金盘、山荷叶、爵犀、马目毒公、九臼、天臼、解毒、害母草、独荷草、羞天花、术律草、琼田草、旱荷、金星八角、金魁连、八角乌、白八角莲、金边七）,清热解毒，化痰散结，祛瘀消肿。治痈肿，疔疮，瘰疬，喉蛾，跌打损伤，蛇咬伤。
八角莲叶,http://p.ayxbk.com/images/3/3c/Bkbzb.jpg,（鬼臼叶）,清热解毒；止咳平喘。主痈肿疔疮；喘咳
八仙草,http://p.ayxbk.com/images/thumb/8/89/Bkbzc.jpg/220px-Bkbzc.jpg,（猪殃殃、小锯藤、锯子草、小茜草、小飞扬藤、红丝线、血见愁、细茜草、拉拉藤、小舒筋）,清湿热，散瘀，消肿，解毒。治淋浊，尿血，跌打损伤，肠痈，疖肿，中耳炎。
八仙花,http://p.ayxbk.com/images/thumb/4/4d/Bkbzp.jpg/220px-Bkbzp.jpg,（粉团花、紫阳花）,抗疟药，功效与常山相仿。又用于心脏病。
八月札,http://p.ayxbk.com/images/thumb/2/2a/Bkamj.jpg/220px-Bkamj.jpg,（燕蓄子、畜蓄子、拿子、桴棪子、覆子、木通子、八月瓜、八月炸、野毛蛋、冷饭包、野香蕉、羊开口、玉支子、腊瓜、畜葍子、八月楂、压惊子、预知子、八月果、百日瓜、牵藤瓜、拉拉果、野香交）,舒肝理气，活血止痛，除烦利尿。治肝胃气痛，胃热食呆，烦渴，亦白痢疾，腰痛，胁痛，疝气，窟经，子宫下坠。
八爪金龙,http://p.ayxbk.com/images/thumb/9/96/Bkc00.jpg/220px-Bkc00.jpg,（百两金、八爪龙、八爪根、铁雨伞、高八爪、开喉箭[四川]）,清咽利喉，散瘀消肿。主治：咽喉肿痛，跌打损伤，风湿骨痛。
巴豆,http://p.ayxbk.com/images/thumb/e/e6/Bkmht.jpg/220px-Bkmht.jpg,（双眼龙、大叶双眼龙、江子、猛子树、八百力、芒子、巴菽、刚子、老阳子、猛子仁、巴果、巴米、双眼虾、红子仁、豆贡、毒鱼子、銮豆、贡仔、巴仁、巴贡、药子仁、芦麻子、腊盘子、大风子、泻果）,泻寒积，通关窍，逐痰，行水，杀虫。治冷积凝滞，胸腹胀满急痛，血瘕，痰癖，泻痢，水肿，外用治喉风，喉痹，恶疮疥癣。
巴豆霜,http://p.ayxbk.com/images/6/62/Bk06q.jpg,,峻下积滞，逐水消肿，豁痰利咽。用于寒积便秘，乳食停滞，下腹水肿，二便不通，喉风，喉痹。
巴戟天,http://p.ayxbk.com/images/thumb/d/d4/Bkci0.jpg/220px-Bkci0.jpg,（鸡肠风、鸡眼藤、黑藤钻、兔仔肠、三角藤、糠藤、巴戟、兔子肠、巴吉天、戟天、巴戟肉、猫肠筋、兔儿肠）,补肾阳，壮筋骨，祛风湿。治阳痿，少腹冷痛，小便不禁，子宫虚冷，风寒湿痹，腰膝酸痛。
菝葜,http://p.ayxbk.com/images/thumb/f/fb/Bk06u.jpg/220px-Bk06u.jpg,（金刚藤、铁菱角、马加勒、筋骨柱子、红灯果、金刚根、王瓜草、金刚骨、山梨儿、金刚树、铁刷子、金刚刺、金刚头、假萆薢、山菱角、霸王引、沟谷刺、金巴斗、豺狗刺、鲎壳藤、马甲、硬饭头、冷饭头、龙爪菜、普贴、鸡肝根、路边刷、鲎壳刺、铁刺苓、饭巴铎、冷饭巴、霸王力、金刚鞭、马鞍宫、马加刺兜）,祛风利湿；解毒消痈。主风湿痹痛；淋浊；带下；泄泻；痢疾；痈肿疮毒；顽癣；烧烫伤
霸王鞭,http://p.ayxbk.com/images/thumb/d/dc/Bkc02.jpg/220px-Bkc02.jpg,（刺金刚、金刚纂、金刚杵、冷水金丹）,祛风解毒；杀虫止痒。主疮疡肿毒；牛皮癣
白背三七,http://p.ayxbk.com/images/thumb/1/16/Bkc04.jpg/220px-Bkc04.jpg,（大肥牛、土生地、白仔菜药、散血姜、土田七、三百棒、地滚子、大救驾、百步还阳、石三七、树三七、大绿叶、接骨丹、枪刀药、清心菜、白血皮菜、胡豆七、胖儿草、磊救驾、玉枇杷、金丝枇杷、白东枫、厚面皮、鸡菜、白番苋、白红菜、疔拔、叉花三七、大晕病药）,清热凉血，散瘀消肿。治支气管炎，肺结核，崩漏痈肿，烫伤。跌打损仿，刀伤出血。
白背叶,http://p.ayxbk.com/images/thumb/a/aa/Bkamm.jpg/220px-Bkamm.jpg,（野桐、叶下白、白背木、白背娘、白朴树、白帽顶、白膜叶、白鹤叶、白面戟、白面风、白桃叶）,清热；解毒；祛湿；止血。主蜂窝组织炎；化脓性中耳炎；鹅口疮；湿疹；跌打损伤；外伤出血
白背叶根,http://p.ayxbk.com/images/1/13/Bkc06.jpg,（白膜根、白朴根、野桐根）,清热；祛湿；收涩；消瘀。主肝炎肠炎；淋浊；带下；脱肛；子宫下垂；肝脾肿大；跌打扭伤
白扁豆,http://p.ayxbk.com/images/1/17/Bk06y.jpg,（火镰扁豆、峨眉豆、扁豆子、茶豆、藊豆、白藊豆、南扁豆、沿篱豆、蛾眉豆、羊眼豆、凉衍豆、白藊豆子、膨皮豆、小刀豆、树豆、藤豆、眉豆）,健脾，化湿，消暑。主脾虚生湿，食少便溏，白带过多，暑湿吐泻，烦渴胸闷
白草莓,http://p.ayxbk.com/images/3/3d/Bkc07.jpg,（三匹风、野杨莓、草莓、白泡儿、白藨、白蒲草、只大萨曾、白地莓）,祛风，清热，解毒。治风热咳嗽，百日咳，口腔炎，痢疾，尿血，疮疖。
白侧耳,http://p.ayxbk.com/images/thumb/c/c3/Bkc09.jpg/220px-Bkc09.jpg,（白耳菜、叫天鸡、光板、金苦板、苍耳七、金钱灯塔草、金筶板、梅花草、黄草、小白花、山慈姑、马尿花、马蹄草、紫葳草、肺心草、白折耳、水折耳）,镇咳，止血，利湿，治虚劳咳嗽，咳血，吐血，亦痢，白带，疔疮。
