imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/17/1/2/medium/1/94cdc7307f20afb0f5597733ba4a8beacfb52273.png?1385107889,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/17/1/2/medium/2/21deeda23535d73d91b06352409868e589d96f3b.png?1385107892,Tutorial,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/17/1/2/medium/3/7c9519d506e787699cb906590a4335f0acf4adef.png?1385107894,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/17/1/2/medium/4/a8e667e95a53afacc374f1cb7f766da7b580d222.png?1385107896,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/17/1/2/medium/5/71155c6f73d23028d0c3b0c10c78a70b4393e332.png?1385107898,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/17/1/2/medium/6/dd7130b1aff185d50b60524796fc5a8c189d5aff.png?1385107901,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/17/1/2/medium/7/2d902cfeb6c93ab290a9d44575e2494760231617.png?1385107903,Tutorial,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/17/1/2/medium/8/90278c657a5bdbe3fb260466cd5b58e5014ed6c4.png?1385107905,Social sign in,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/17/1/2/medium/9/1c104bd5599434d5e1488dcb72df64a59776bc9a.png?1385107906,Popular,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/17/7/2/medium/1/e59f3cd7a7c2d7350c4feb4e4fcd8ab0edd7affe.png?1356115440,Social connect,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/17/7/2/medium/2/b444399a1bce5d8a5ef3e6979d1471d87e7254c1.png?1356115443,Default log in fields,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/17/7/2/medium/3/d093e32977b3864c44dc8abc14da0054b89a26fc.png?1356115445,Filled log in fields,Signing up,3
http://s3.amazonaws.com/uxarchive2/flows/17/7/2/medium/4/33a6ec84a70ddcfae9c3e3a8288bf461568cd674.png?1356115446,Creating account alert,Signing up,4
http://s3.amazonaws.com/uxarchive2/flows/17/7/2/medium/5/819ad3a6b55239866884159432878a5f08cf1720.png?1356115448,Profile ,Signing up,5
