imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/1/39cb3d61f88ef41467060e4419403bd9ce0b8483.png?1368680465,Venue list,Purchasing,1
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/2/57bec1aad1f4981fdffb3f6e6dc8132e6ccbef72.png?1368680471,Liquor list,Purchasing,2
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/3/7ab8494395a7b7b0ea75084b48e2c2922a41f133.png?1368680472,Cocktail options,Purchasing,3
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/4/8092654734e428a56e3942fea8bf425e3f531b9d.png?1368680475,Mixer list,Purchasing,4
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/5/7e8eb491f0a88e3730bb3905e59a6377034eb914.png?1368680476,Cocktail options,Purchasing,5
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/6/574e6f2d917b311fe5eb486c74f8e4a95e97d4fd.png?1368680478,Garnish list,Purchasing,6
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/7/ac6107a81512402d2482b3255655005b077deaf9.png?1368680480,Cocktail options,Purchasing,7
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/8/29a2bee21a39e260ce73bce88880ebfc301bc967.png?1368680482,Warning,Purchasing,8
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/9/289eeccab5549dfad703475fcc943485be9f9694.png?1368680484,Liquor list,Purchasing,9
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/10/0d3bcea113c141460edd15cec5f9bc4dc161f4cc.png?1368680486,Checkout,Purchasing,10
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/11/320ee03e82145fe3f5adc25368687d0edae514c5.png?1368680488,Card selection,Purchasing,11
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/12/c853172ba67c70bddd7e680e8c0466cc6c49c060.png?1368680489,Payment confirmation,Purchasing,12
http://s3.amazonaws.com/uxarchive2/flows/56/10/2/medium/13/741aebfd040a583141fce15ade9d5349c1485673.png?1368680491,Liquor list,Purchasing,13
