imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive/flows/145/1/2/medium/1/82a8f1a1117e07d244f537f70c33497409b237b3.png?1380643299,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive/flows/145/1/2/medium/2/e6fe144fbd128655104ee99cc7b0a78d533eb9a8.png?1380643302,Carousel,Onboarding,2
http://s3.amazonaws.com/uxarchive/flows/145/1/2/medium/3/0dd465172b5c4a39e1e1e03b984f990d10388cf9.png?1380643305,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive/flows/145/1/2/medium/4/ee3a2a66234e61a52bdac4ccca692f665248b3ea.png?1380643307,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive/flows/145/1/2/medium/5/e0a929898421203575e744ecf8c59cbf29a3113c.png?1380643310,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive/flows/145/1/2/medium/6/0c12ed67d1dbc42450caec96848ef244266de4af.png?1380643313,Home feed,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/145/2/2/medium/1/714def363a746571664af9888b62e204de14671e.png?1380649447,Home feed,Searching,1
http://s3.amazonaws.com/uxarchive2/flows/145/2/2/medium/2/46b1879adfb1b65b91d5bd2246535e18813ee642.png?1380649450,Menu,Searching,2
http://s3.amazonaws.com/uxarchive2/flows/145/2/2/medium/3/11ee4349ffcff18b9566fd14806866b30a363183.png?1380649453,Search,Searching,3
http://s3.amazonaws.com/uxarchive2/flows/145/2/2/medium/4/ed0a62b8048991681e671043a562300c3c6e8828.png?1380649454,Search results,Searching,4
http://s3.amazonaws.com/uxarchive2/flows/145/2/2/medium/5/f7ea021a4c668cdfb04803ceda6fbf2782a9696a.png?1380649456,Artist,Searching,5
http://s3.amazonaws.com/uxarchive2/flows/145/2/2/medium/6/b372004d90631da4732b5b69453f68edc19d02b3.png?1380649459,Art piece,Searching,6
http://s3.amazonaws.com/uxarchive2/flows/145/7/2/medium/1/a33d34e14d9c669304e51b9f935e7cc08b19d27c.png?1380643528,Tutorial,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/145/7/2/medium/2/e2d297faf1ac0230779499ba1decdcdbf9d54553.png?1380643530,Social connect,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/145/7/2/medium/3/815c4335c2270858f0f8090b228b966141550077.png?1380643534,Twitter permissions,Signing up,3
http://s3.amazonaws.com/uxarchive2/flows/145/7/2/medium/4/10d44b52394905d76ce2a42db05edf7e998f172c.png?1380643548,Name edit,Signing up,4
http://s3.amazonaws.com/uxarchive2/flows/145/7/2/medium/5/97dc997984dcee374f8dae76151fdf1dfe32556d.png?1380643556,Question,Signing up,5
http://s3.amazonaws.com/uxarchive2/flows/145/7/2/medium/6/10da98ea161562d9b624063c9e10cc3101cc6449.png?1380643564,Question,Signing up,6
http://s3.amazonaws.com/uxarchive2/flows/145/7/2/medium/7/1f96525771aa1464518fbf9f990d3aae4040de4d.png?1380643570,Question,Signing up,7
http://s3.amazonaws.com/uxarchive2/flows/145/7/2/medium/8/f12a5c7165a7e0280461e6dac93650a0af6c22bc.png?1380643575,Home feed,Signing up,8
