imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/186/16/2/medium/1/0a1b6cedc813474e2ab165c37181be7fc5648dce.png?1390885822,Home feed,Adding,1
http://s3.amazonaws.com/uxarchive2/flows/186/16/2/medium/2/230186809c988f43d7b90ec2ac4f1d7af523f962.png?1390885825,Add project,Adding,2
http://s3.amazonaws.com/uxarchive2/flows/186/16/2/medium/3/a97164ad9ce311c71f22facf1fc7237edd6ba472.png?1390885828,Camera roll,Adding,3
http://s3.amazonaws.com/uxarchive2/flows/186/16/2/medium/4/d7d281f0ba77e49aadef71df8cc1161595e00470.png?1390885831,Image preview,Adding,4
http://s3.amazonaws.com/uxarchive2/flows/186/16/2/medium/5/ffa1758376052df9bcee21d192aed91c3290bb14.png?1390885834,Cover selection,Adding,5
http://s3.amazonaws.com/uxarchive2/flows/186/16/2/medium/6/663a963827a12d8a0f32876435c5fb8b836b3861.png?1390885837,Project details,Adding,6
http://s3.amazonaws.com/uxarchive2/flows/186/16/2/medium/7/3698e72f908cd954f3cccebe8870b10b236eb320.png?1390885839,Field list,Adding,7
http://s3.amazonaws.com/uxarchive2/flows/186/16/2/medium/8/8679511e2920c5b20013e99c9700882c5830e0d1.png?1390885842,Project details,Adding,8
http://s3.amazonaws.com/uxarchive2/flows/186/16/2/medium/9/cdeebc1a0e2e973349d4912a4b2a5e874f86afaf.png?1390885844,Confirmation,Adding,9
http://s3.amazonaws.com/uxarchive2/flows/186/16/2/medium/10/2dadb54724d1495b7229126d776fcdd8ddaf1306.png?1390885847,Project,Adding,10
http://s3.amazonaws.com/uxarchive2/flows/186/3/2/medium/1/5276e9677fbb5f731eb17485b79bf78f7c864461.png?1390885967,Explore (projects),Exploring,1
http://s3.amazonaws.com/uxarchive2/flows/186/3/2/medium/2/e22e6e979bb1fb8d47d0a3207fd422c8c8df3658.png?1390885972,Project,Exploring,2
http://s3.amazonaws.com/uxarchive2/flows/186/3/2/medium/3/6c03ffa91ee10e5c5ecbaa81e05c70897ba0dd9e.png?1390885974,Image,Exploring,3
http://s3.amazonaws.com/uxarchive2/flows/186/25/2/medium/1/eff0fd6f4ef2221809417676471e562af03458c7.png?1390886150,Explore (projects),Logging in,1
http://s3.amazonaws.com/uxarchive2/flows/186/25/2/medium/2/bc83be565d49c8bea5a6599ddc61c7c3e6d59bce.png?1390886153,Sign in,Logging in,2
http://s3.amazonaws.com/uxarchive2/flows/186/25/2/medium/3/c72ba74a9a6fcec9db0ee34a28e87e1b1960eb84.png?1390886156,Home feed,Logging in,3
http://s3.amazonaws.com/uxarchive2/flows/186/1/2/medium/1/1ba4df56802039df578991464e5951bf83331714.png?1390884096,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/186/1/2/medium/2/5c17baa020c7333c2853782d8acaae001defc116.png?1390884098,Tutorial,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/186/1/2/medium/3/6f24fe3eb6d53bd6f09ba70d18921315512f3a8c.png?1390884099,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/186/1/2/medium/4/eca12286caf0a02c47ff3e0438b9c7ccc6cc0af5.png?1390884102,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/186/1/2/medium/5/64d6fcf586306c5a5108bcb97782e84f0aafa048.png?1390884105,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/186/1/2/medium/6/5294d4e1f13ba22e63735f3b18ac96bb25ccf18c.png?1390884107,Home feed,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/186/2/2/medium/1/66bec4ec0c9d61e18a5b126491e463904696ee05.png?1390885248,Home feed,Searching,1
http://s3.amazonaws.com/uxarchive2/flows/186/2/2/medium/2/88cbbbe73a315cbd0a48e0e7156770f61d228705.png?1390885253,Search,Searching,2
http://s3.amazonaws.com/uxarchive2/flows/186/2/2/medium/3/36fed47b7fd4c94eba1411aca78fd2abb2ee1269.png?1390885255,Search filled,Searching,3
http://s3.amazonaws.com/uxarchive2/flows/186/2/2/medium/4/96ea4f769ff460203480e25f15acbbc3e07ed1d1.png?1390885258,Search results,Searching,4
http://s3.amazonaws.com/uxarchive2/flows/186/2/2/medium/5/a345399c8b7fb662a4a78440e2c9c3ad62435937.png?1390885260,Filter,Searching,5
http://s3.amazonaws.com/uxarchive2/flows/186/2/2/medium/6/a56edb0411ebf9a8afdf0dd22edfc1db8eacd77d.png?1390885263,Search results,Searching,6
http://s3.amazonaws.com/uxarchive2/flows/186/2/2/medium/7/15474a60163edb7b60b75a2b6acddd51bb61735e.png?1390885265,Project,Searching,7
http://s3.amazonaws.com/uxarchive2/flows/186/7/2/medium/1/e2ac474fb49b360c752772ccbdfd81f71a4c1c16.png?1390884326,Home feed,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/186/7/2/medium/2/64a0a91db60205cb09b202d141dfa9c0406c7138.png?1390884327,Sign up,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/186/7/2/medium/3/e0b91a73255313073de97284bd6c4c72d42441aa.png?1390884329,Profile info,Signing up,3
http://s3.amazonaws.com/uxarchive2/flows/186/7/2/medium/4/3f22e5091eaf6a29d0028f3d81d934ce61b777a7.png?1390884332,To follow,Signing up,4
http://s3.amazonaws.com/uxarchive2/flows/186/7/2/medium/5/d63a6aae4cbe03333ce79ec102dc9b1978a1fd01.png?1390884334,Home feed,Signing up,5
