imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/18/1/2/medium/1/f90f47c5ffcef4454d41057358394ecef97f7a3a.png?1355728318,App explanation,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/18/1/2/medium/2/b16963b6a33ad62de9111a0ce6174bfe1b6c190e.png?1355728320,App explanation,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/18/1/2/medium/3/947d1787839baa8e6623f19b59aa8a34d504b7c1.png?1355728321,App explanation,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/18/1/2/medium/4/0f0ae6c1c64757d20ab55d07a6586017f4cfe010.png?1355728323,App explanation,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/18/1/2/medium/5/bb800cbe0869760226aefff2b496603a9773171a.png?1355728324,Social connect,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/18/1/2/medium/6/2c7fe8155ba8bed5baf4730298a41ae28a283f36.png?1355728325,Account autorization,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/18/1/2/medium/7/cc21ed76f2cc6b39224386368f9d32fd8d3acd5c.png?1355728326,Twitter account selection,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/18/1/2/medium/8/65852f5fa40834c3c05b35271dda966cba169a44.png?1355728328,Main screen tutorial,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/18/1/2/medium/9/312d009950b08d80d3d20862bc68fa8b10b4c6eb.png?1355728329,Post message,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/1/88d8cfd39192cd1345fddf565d8fb42f6e9fa0dc.png?1355733459,Message queue,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/2/507a0c9871ce76065b60b1b8875296e2d931fde3.png?1355733460,Message default field,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/3/c2dd8b1568e0b98769a64d60f43a5a0e42e3fcde.png?1355733461,Message filled field,Sharing,3
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/4/5ecda825d8087439fed31bc51c4ef309c714a71a.png?1355733462,Social platform selection,Sharing,4
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/5/22b2f47ec4e4784bd77c9e9c06199697c30f6847.png?1355733463,Social platform selection,Sharing,5
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/6/fc0a4ba7bc549604b6e1bbb8f9e301f9d8ed11a3.png?1355733464,Add picture,Sharing,6
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/7/7c8eff3a924fd31f0b8168a5ad726687edeac6bb.png?1355733465,Camera,Sharing,7
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/8/6bd7d719d2cd18ae2c8d54692d36ff1e67f52fbb.png?1355733466,Picture validation,Sharing,8
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/9/f481f1dba6e7323b49e2f6b1ba0a0db9ba4df9d7.png?1355733468,Picture added,Sharing,9
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/10/9f34d4ce9f1dd41d715a98e0e0b2c6423a676b94.png?1355733469,Message filled field,Sharing,10
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/11/ad2a1e5388a0b2051756cb151563f2da10650664.png?1355733470,Uploading message,Sharing,11
http://s3.amazonaws.com/uxarchive2/flows/18/4/2/medium/12/35ab083ee6266c02f5c0a5ec3ce6a67fdde59acb.png?1355733471,Message queue,Sharing,12
