imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/139/11/2/medium/1/31dd53e21b68fa617f97ede47c1f8f4ef488d330.png?1380520704,Today,Creating,1
http://s3.amazonaws.com/uxarchive2/flows/139/11/2/medium/2/2e09e91cd34a0cddebfef957f18f5331cb43ab39.png?1380520706,Event options,Creating,2
http://s3.amazonaws.com/uxarchive2/flows/139/11/2/medium/3/c0fc5975f2cddb9969c95aca593a24d09e40cc63.png?1380520708,Title edit,Creating,3
http://s3.amazonaws.com/uxarchive2/flows/139/11/2/medium/4/d0ab60ed72d71ca73e4ff9c7cbf4965f67e81715.png?1380520709,Event options,Creating,4
http://s3.amazonaws.com/uxarchive2/flows/139/11/2/medium/5/b5d5dfddc3183c54d476b615a92547f8c92e431e.png?1380520712,Event beginning & end,Creating,5
http://s3.amazonaws.com/uxarchive2/flows/139/11/2/medium/6/daef839908dcb2db51d638ccb50439f48e74dcf8.png?1380520714,Event summary,Creating,6
http://s3.amazonaws.com/uxarchive2/flows/139/11/2/medium/7/24f5e0642d042d4e8517830854b4c162ab6a7868.png?1380520716,Invitation alert,Creating,7
http://s3.amazonaws.com/uxarchive2/flows/139/11/2/medium/8/057f098760ebc3d9ea076b3dfa6041bf881dd35b.png?1380520717,Event day,Creating,8
http://s3.amazonaws.com/uxarchive2/flows/139/7/2/medium/1/5aabd68a02e31ba0b0dbff24b48f9ef4185d201f.png?1380407693,Welcome,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/139/7/2/medium/2/4a177d5637227f4039e72aaf889f2be274ea190c.png?1380407696,Calendar connect,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/139/7/2/medium/3/984164d719f0a60f8515a3af5ea856d3f6a94bdb.png?1380407698,Facebook connect,Signing up,3
http://s3.amazonaws.com/uxarchive2/flows/139/7/2/medium/4/1597f1f4fb381dd051bec108109f8852eadf8dba.png?1380407702,Calendar,Signing up,4
