imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/47/11/2/medium/1/2c15e3883e89f099981babf2256cd996a95f8b6f.png?1385328233,Dropbox,Creating,1
http://s3.amazonaws.com/uxarchive2/flows/47/11/2/medium/2/bb183ffae44063d16c810ef9ad253c3f9a25d8c8.png?1385328235,Options,Creating,2
http://s3.amazonaws.com/uxarchive2/flows/47/11/2/medium/3/a235e3c82da4d3a8338e2f1c3a45237a8160f400.png?1385328237,Folder name edit,Creating,3
http://s3.amazonaws.com/uxarchive2/flows/47/11/2/medium/4/085f694f062e8c08dfd07ed5314e43aac2088cd9.png?1385328238,Folder,Creating,4
http://s3.amazonaws.com/uxarchive2/flows/47/13/2/medium/1/a28f9b13f89548f444c0771cfee20919d91b2b02.png?1385328304,Dropbox,Deleting,1
http://s3.amazonaws.com/uxarchive2/flows/47/13/2/medium/2/c1cca90ffd94e2ae44aee37ac61083e2a4b00b8c.png?1385328305,Options,Deleting,2
http://s3.amazonaws.com/uxarchive2/flows/47/13/2/medium/3/69db479547a49526056e1ca778b8c39882da44c2.png?1385328306,Folder selection,Deleting,3
http://s3.amazonaws.com/uxarchive2/flows/47/13/2/medium/4/a62e1518b05836b8c6dfad0ed03856abbe360517.png?1385328308,Alert,Deleting,4
http://s3.amazonaws.com/uxarchive2/flows/47/13/2/medium/5/3a0ab3a4314019f5ae000a67c07c8b27e54793ba.png?1385328310,Dropbox,Deleting,5
http://s3.amazonaws.com/uxarchive2/flows/47/12/2/medium/1/fe9ca84d7bce9560aa4f3ec50ff599f69b8905d9.png?1385331648,Folder,Moving,1
http://s3.amazonaws.com/uxarchive2/flows/47/12/2/medium/2/afe99ed0ba011b8bdeed783fec59876a19d06c06.png?1385331650,Folder options,Moving,2
http://s3.amazonaws.com/uxarchive2/flows/47/12/2/medium/3/fbc84860509ee936fcfaf9d315fd7e4c8681fdcc.png?1385331652,File selection,Moving,3
http://s3.amazonaws.com/uxarchive2/flows/47/12/2/medium/4/81931bcd69f1bce321b14d635cc0473d60063edd.png?1385331654,File selected,Moving,4
http://s3.amazonaws.com/uxarchive2/flows/47/12/2/medium/5/611e1e78da1a470d21293a359a96221326e8b7b7.png?1385331656,Folder,Moving,5
http://s3.amazonaws.com/uxarchive2/flows/47/12/2/medium/6/14caca572e62268694839a3be7dfefcf99809078.png?1385331658,Navigation,Moving,6
http://s3.amazonaws.com/uxarchive2/flows/47/12/2/medium/7/f46754737b6002c05d44d0056a08e69b475f9651.png?1385331661,Selected folder,Moving,7
