imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive/flows/20/11/2/medium/1/9ba8d21fb43ff6d230a70c7171ef4af3efe60f7f.png?1380178575,Home,Creating,1
http://s3.amazonaws.com/uxarchive/flows/20/11/2/medium/2/977338e54250bffe2f911b655c1004b6f92c3e55.png?1380178579,Body text edit,Creating,2
http://s3.amazonaws.com/uxarchive/flows/20/11/2/medium/3/e2c4064614d93877f1b995aef0018887ea1caa7c.png?1380178583,Title edit,Creating,3
http://s3.amazonaws.com/uxarchive/flows/20/11/2/medium/4/9a23d01199669b631ab26425f0db7d90f2e299cc.png?1380178587,Note edit,Creating,4
http://s3.amazonaws.com/uxarchive/flows/20/11/2/medium/5/01ae6cdb0dafed42296aeaaa2737b91af2789494.png?1380178589,Home,Creating,5
http://s3.amazonaws.com/uxarchive2/flows/20/1/2/medium/1/b2c984fa65d27fec3f784f49359285ed5f29f5b2.png?1355729233,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/20/1/2/medium/2/bb075f5df8be1ff770ad6eba7461f16cb8c5bcaa.png?1355729236,Concept explanation,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/20/1/2/medium/3/64992143f9feb75405447c1241422ac5ebe694cf.png?1355729240,Sample use case,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/20/1/2/medium/4/fd1a4400c6a4da848f53e972a6b3a7f45ec16543.png?1355729241,Sample use case,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/20/1/2/medium/5/ba39c460df16fefab2227cfddca3967090f8d5f2.png?1355729243,Sample use case,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/20/1/2/medium/6/0de5ce1cd12521a0f6759a5bac4073d08fd7abbd.png?1355729244,Sample use case,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/20/1/2/medium/7/945e50f1539d336aa705e1a902184895c88ffb4f.png?1355729246,Sample use case,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/20/1/2/medium/8/fb5b750727d36b131ccf3b032b3f64b927369091.png?1355729247,Login default fields,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/20/1/2/medium/9/876e43e02d7784ff7fb5e9dc3c8142776980ac9b.png?1355729248,Login filled fields,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/20/1/2/medium/10/ff15fb25ead3a66a05cd1643c17d0d91698fdb35.png?1355729250,Main screen,Onboarding,10
http://s3.amazonaws.com/uxarchive/flows/20/2/2/medium/1/2704b7fdd5fb33777872c5a2e97cb173bf92f145.png?1380262842,Home,Searching,1
http://s3.amazonaws.com/uxarchive/flows/20/2/2/medium/2/0d71fe3b8542b6c421ee1cc545d2a6499002b9b3.png?1380262844,All notes,Searching,2
http://s3.amazonaws.com/uxarchive/flows/20/2/2/medium/3/b3e428ea8580a7d03f7470791cc481b1e4221d86.png?1380262847,Search,Searching,3
http://s3.amazonaws.com/uxarchive/flows/20/2/2/medium/4/82369cbf485e4b3106412d1eb1bfa04f60aebd48.png?1380262849,Searching,Searching,4
http://s3.amazonaws.com/uxarchive/flows/20/2/2/medium/5/dc4ccd4d65d01730c432629047b99c3be76d2237.png?1380262851,Search results,Searching,5
http://s3.amazonaws.com/uxarchive/flows/20/2/2/medium/6/16f5f588191b6a9781af36a61e829ce22be263b4.png?1380262854,Selected note,Searching,6
http://s3.amazonaws.com/uxarchive2/flows/20/4/2/medium/1/2e0b9f652050ee33bd40eb818fb08957e03879a0.png?1382634939,Note,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/20/4/2/medium/2/0c9f54c602b2b2f65aa811a8791102c7443874b1.png?1382634941,Sharing services,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/20/4/2/medium/3/a7e9ea9782a915d685f75053a7303d137f2155eb.png?1382634944,Email,Sharing,3
http://s3.amazonaws.com/uxarchive2/flows/20/4/2/medium/4/da0e9f7242c764f1ffa6bef4c25a4ff50551f6ea.png?1382634946,Recipients searching,Sharing,4
http://s3.amazonaws.com/uxarchive2/flows/20/4/2/medium/5/6d23e47198e0943fa93dc7db642715a7f5077625.png?1382634949,Email,Sharing,5
http://s3.amazonaws.com/uxarchive2/flows/20/4/2/medium/6/3a94d99facb11725a022808f0aa9b5c35f4f766e.png?1382634952,Note,Sharing,6
http://s3.amazonaws.com/uxarchive2/flows/20/7/2/medium/1/9f5c9ddd819503143750191099ce0cc442db8ab8.png?1366324661,Welcome screen,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/20/7/2/medium/2/04fc70c6ede8e1a6f77534896af212b80cc3e5f2.png?1366324664,Sign up form,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/20/7/2/medium/3/27f8492f4d3766399bdc0108778c593cd4521bff.png?1366324665,Main screen,Signing up,3
