imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/1/1/2/medium/1/4acc6d7878b5719a72aea7b52089e6fb7a46859b.png?1380232981,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/1/1/2/medium/2/9191a63f598f964dc73ddcd1faba0fe1da5e076d.png?1380232983,Sign in,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/1/1/2/medium/3/b53a6a731937673085753e739dbe6e821f9b0179.png?1380232985,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/1/1/2/medium/4/6363a630b57d105058d1b10767f59c8eb2a4e6f0.png?1380232986,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/1/1/2/medium/5/af39db9fc71d330e3a9024b9ec395535f8bf5869.png?1380232987,News feed,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/1/19/2/medium/1/ca9598868b9bc30fda5f216f8c7b36998ed5fa6a.png?1380261852,Conversation,Recording,1
http://s3.amazonaws.com/uxarchive2/flows/1/19/2/medium/2/b87f84442a31b1600949eefe895aab048aee9423.png?1380261853,Message edit,Recording,2
http://s3.amazonaws.com/uxarchive2/flows/1/19/2/medium/3/23eb3c7d4c4b873459cf23df2b733df5d8f39d8e.png?1380261855,Keyboard options,Recording,3
http://s3.amazonaws.com/uxarchive2/flows/1/19/2/medium/4/c85d73f691b989ff3a9e8287f324939f3c325fac.png?1380261857,Record voice,Recording,4
http://s3.amazonaws.com/uxarchive2/flows/1/19/2/medium/5/d59184f052ea0ccb782cf107d0abbf14008e9441.png?1380261859,Recording,Recording,5
http://s3.amazonaws.com/uxarchive2/flows/1/19/2/medium/6/44ba4425ef244b557d6d72ad3ad469aecc305bf8.png?1380261860,Message sent,Recording,6
http://s3.amazonaws.com/uxarchive2/flows/1/19/2/medium/7/d7207b0f603e3377200d0306ccd70238f9319134.png?1380261862,Message edit,Recording,7
http://s3.amazonaws.com/uxarchive2/flows/1/4/2/medium/1/7054a8a51a8dc57663b91f059db9ad712839453f.png?1380233837,News Feed,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/1/4/2/medium/2/7fadca228605aec6b60d655fd55239ac8af96cb4.png?1380233839,Update Status,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/1/4/2/medium/3/a4689050dd73fff730eb95c78ba58954fc72f565.png?1380233841,Status edit,Sharing,3
http://s3.amazonaws.com/uxarchive2/flows/1/4/2/medium/4/6f757b766efbe0ef27d6c5a4d7a9557688813676.png?1380233843,News Feed,Sharing,4
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/1/262dd79af18738b7cd8ddcf2ca1fffe75c171086.png?1382509173,Sign up,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/2/1933f5f990731005e57a741c7e9cbc46c8dfce74.png?1382509175,Account info,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/3/d0cc5d54533e897f0b11bb5c882604be7847bb70.png?1382509176,Confirm email (optional),Signing up,3
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/4/ee9e4df1eb7856bfcf19c8de1a18078a4f745051.png?1382509178,Add picture,Signing up,4
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/5/acb5123597f38260c855e30bc505eb45bea542d1.png?1382509179,Camera,Signing up,5
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/6/36498771501c2ab72dfffe068598f026c2aae9b3.png?1382509182,Photo,Signing up,6
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/7/178b80f0c524f122034ec785a81ac99877fcadd3.png?1382509184,Photo cropping,Signing up,7
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/8/2b58f1826fe4f1afeb9a4395648d3a9f599c947a.png?1382509186,Find friends,Signing up,8
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/9/0de239ae8a0fc2718155c028b38d3f063bbfb53e.png?1382509188,Select friends,Signing up,9
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/10/676926b328b9b1352825f31d2930b945cfb04fd4.png?1382509189,Invite friends,Signing up,10
http://s3.amazonaws.com/uxarchive2/flows/1/7/2/medium/11/67139f732f83b35fd5a51bd3ca32d3e2be484ab0.png?1382509191,News feed,Signing up,11
http://s3.amazonaws.com/uxarchive2/flows/1/14/2/medium/1/9f28d2c68273b8ce869035b2dea6857acae515fe.png?1379355643,Photo,Tagging,1
http://s3.amazonaws.com/uxarchive2/flows/1/14/2/medium/2/b11ee408013ac134c549881b6cd4c23345ea7ea7.png?1379355647,Tag option,Tagging,2
http://s3.amazonaws.com/uxarchive2/flows/1/14/2/medium/3/136e81890a1b1fb67db4a4b83b49492f1c7ae461.png?1379355653,Friend search,Tagging,3
http://s3.amazonaws.com/uxarchive2/flows/1/14/2/medium/4/1b9ed471163811b83c7d1009956bdf38ed5c3296.png?1379355658,Friend selection,Tagging,4
http://s3.amazonaws.com/uxarchive2/flows/1/14/2/medium/5/c995f129ece6644446b591871a8236ca9359881f.png?1379355661,Friend tagged,Tagging,5
