imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/228/20/2/medium/1/220122280dff643f5044bb3794a233cc1c2e1b23.png?1421340309,Newsfeed,Consuming,1
http://s3.amazonaws.com/uxarchive2/flows/228/20/2/medium/2/c9f74acd63bb8361698b5d2b9a5a3fc46d1e1751.png?1421340311,Article,Consuming,2
http://s3.amazonaws.com/uxarchive2/flows/228/20/2/medium/3/1e55dd19b38719c19bd93c1ea7c41d74bddc5fce.png?1421340316,Bottom of article,Consuming,3
http://s3.amazonaws.com/uxarchive2/flows/228/20/2/medium/4/c2a723d7b77dd6bd7ec9e51f51fb4df3ef39f196.png?1421340317,Publisher removed,Consuming,4
http://s3.amazonaws.com/uxarchive2/flows/228/20/2/medium/5/7699e01fe8f6eb48680aff45cd96383632b3fe4a.png?1421340319,Publisher added,Consuming,5
http://s3.amazonaws.com/uxarchive2/flows/228/20/2/medium/6/a433de55a142382e664b891e5e97aec2209a0cd5.png?1421340321,Sharing options,Consuming,6
http://s3.amazonaws.com/uxarchive2/flows/228/20/2/medium/7/19d2b9cf39a1e24b6ee1e74494a5c8395b99a10d.png?1421340322,Bookmark confirmation,Consuming,7
http://s3.amazonaws.com/uxarchive2/flows/228/20/2/medium/8/55a17f13192da8a4074a13915d50cf3b0a4d0e26.png?1421340324,Access to browser,Consuming,8
http://s3.amazonaws.com/uxarchive2/flows/228/3/2/medium/1/f6853e98cd33dc41fc30d59f29bb8c5f328a0673.png?1421340771,Newsfeed,Exploring,1
http://s3.amazonaws.com/uxarchive2/flows/228/3/2/medium/2/4a968db4a80e4f7bd7f74e2d80d959969eb5ff6b.png?1421340773,Left menu,Exploring,2
http://s3.amazonaws.com/uxarchive2/flows/228/3/2/medium/3/414bb2f307fbe657d4e16a107b8545edb948d97d.png?1421340774,Categories,Exploring,3
http://s3.amazonaws.com/uxarchive2/flows/228/3/2/medium/4/a41e02cb6fa8cb31046b2dc7b3e29fe61014f060.png?1421340776,List of publishers,Exploring,4
http://s3.amazonaws.com/uxarchive2/flows/228/3/2/medium/5/1d384244078011eb0d737b93de3390b4dc0ac1fc.png?1421340777,Publisher profile,Exploring,5
http://s3.amazonaws.com/uxarchive2/flows/228/3/2/medium/6/7f5fbcecd43a4cd6ba824a052aa4ff0dd882e95d.png?1421340779,Publisher removed,Exploring,6
http://s3.amazonaws.com/uxarchive2/flows/228/3/2/medium/7/a108b6d8bf726c2c4c97d01806ab710933b12eae.png?1421340780,Publisher added,Exploring,7
http://s3.amazonaws.com/uxarchive2/flows/228/1/2/medium/1/912bb39f40eb68135b055120136e39381b5aa370.png?1421345132,Tutorial,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/228/1/2/medium/2/20cb922f548674d32b98332001acfd036de8af41.png?1421345134,Tutorial,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/228/1/2/medium/3/2f1dcb2a370d2d97a19612b44b27bf9c5c6ec9d6.png?1421345136,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/228/1/2/medium/4/6c15779e8a1024fbda9d0e1caa1b8377b3167cc8.png?1421345137,Sign in info,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/228/1/2/medium/5/23569962546827ba0424d7b4f44544ed26aa5a09.png?1421345139,Sign in info,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/228/1/2/medium/6/277f9f2bb179643b268101116ef87519843e550f.png?1421345141,Newsfeed,Onboarding,6
