imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/214/11/2/medium/1/62cc1e1421a7970d9329f67286b8b3456d23dfd5.png?1412920596,Spreadsheet list,Creating,1
http://s3.amazonaws.com/uxarchive2/flows/214/11/2/medium/2/c2e436a58598364058818e61232512c0dcf62654.png?1412920598,Name edit,Creating,2
http://s3.amazonaws.com/uxarchive2/flows/214/11/2/medium/3/facb8440040b5948a6ad6747f63500141ca68b77.png?1412920599,Spreadsheet,Creating,3
http://s3.amazonaws.com/uxarchive2/flows/214/1/2/medium/1/419aec30d00a88fa11cebce855b2ff915a18f921.png?1412920291,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/214/1/2/medium/2/9f4559031d5efb5308715d023720293c5a587e6d.png?1412920293,Tutorial,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/214/1/2/medium/3/f20096be32cc47b5c48ff6b61960d11da157cedb.png?1412920295,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/214/1/2/medium/4/634dae73df682e96ab997f0c5c19ac905aef017f.png?1412920297,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/214/1/2/medium/5/2ae4b33556481b5791308134a204bb56cb614b02.png?1412920299,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/214/1/2/medium/6/0e2c588f8ada5c5deeee6cf693fa3535dea6b89a.png?1412920301,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/214/1/2/medium/7/26a994cc24fad7b600e585b03272124864c4cc18.png?1412920303,Account selection,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/214/1/2/medium/8/950f21b39a779aefa7c19e7c83bc3098c9a08f0b.png?1412920305,Spreadsheet list,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/214/2/2/medium/1/4b3ede3f830839e6e340e0d6213e8c5420a448bc.png?1412920471,Spreadsheet list,Searching,1
http://s3.amazonaws.com/uxarchive2/flows/214/2/2/medium/2/66e0279f75761edfab22dfa21b39a26adb3f2e4d.png?1412920473,Search,Searching,2
http://s3.amazonaws.com/uxarchive2/flows/214/2/2/medium/3/0a500bd89f4f8661be585e75aa7f6ede776b5580.png?1412920475,Searching,Searching,3
http://s3.amazonaws.com/uxarchive2/flows/214/2/2/medium/4/fc412eb2696a92b1b904c47be0e9784f3699166c.png?1412920476,Spreadsheet,Searching,4
