imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive/flows/225/1/2/medium/1/a2a176caa92af5373c6933822b948e7779639fa3.png?1414088680,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive/flows/225/1/2/medium/2/c82efcc2223e00bcc5ee0d42ebc7de9151fb0c6c.png?1414088682,Email selection,Onboarding,2
http://s3.amazonaws.com/uxarchive/flows/225/1/2/medium/3/82ef3f1849bd4246e09c6d233242da800dc0c0f7.png?1414088684,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive/flows/225/1/2/medium/4/0ddcc853555d12e523c5b4bda37b0bd1a972641c.png?1414088688,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive/flows/225/1/2/medium/5/db6606644ead604d3b8346a35f6cadbb6bd1ef94.png?1414088694,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive/flows/225/1/2/medium/6/40da2a9f083b7d5519ce40b293dab1feb32dd223.png?1414088696,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive/flows/225/1/2/medium/7/aabbe867d4ba0b701115e06d6f1cee9cb9a981f0.png?1414088700,Inbox,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/225/2/2/medium/1/cf1987b3c7f63895895bf5883037c3069026d060.png?1414144810,Inbox,Searching,1
http://s3.amazonaws.com/uxarchive2/flows/225/2/2/medium/2/ddf3c42004dd62abe488540f30b52a14073ac70f.png?1414144811,Search,Searching,2
http://s3.amazonaws.com/uxarchive2/flows/225/2/2/medium/3/aa0ea208437e000b413bc91671d22497eb3d6cae.png?1414144812,Searching,Searching,3
http://s3.amazonaws.com/uxarchive2/flows/225/2/2/medium/4/243488d72c060b6675281f02334266e5e0231e35.png?1414144814,Search results,Searching,4
http://s3.amazonaws.com/uxarchive2/flows/225/2/2/medium/5/23a5838a988182974897d6dd1fe399e40d28a08d.png?1414144815,Email,Searching,5
http://s3.amazonaws.com/uxarchive2/flows/225/4/2/medium/1/cb090bca8bdd635e2ae7076c5d9d4f6eb191536d.png?1414144743,Inbox,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/225/4/2/medium/2/cfda209333a62f947f66bd107867d1823b1294f2.png?1414144745,Creation suggestions,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/225/4/2/medium/3/cf73f672a19a85993c20e0725e37865975ba76de.png?1414144746,Email edit,Sharing,3
http://s3.amazonaws.com/uxarchive2/flows/225/4/2/medium/4/0b62ba4a88af01370b652a1534187984acf064e1.png?1414144748,People search,Sharing,4
http://s3.amazonaws.com/uxarchive2/flows/225/4/2/medium/5/efc648276063b754f60922eff75b66411954da02.png?1414144749,Email edit,Sharing,5
http://s3.amazonaws.com/uxarchive2/flows/225/4/2/medium/6/7c21ca5acd048f6e6d6a59b3be1e0968129d708d.png?1414144751,Inbox,Sharing,6
