imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/182/1/2/medium/1/e502640e444715b9633f3b0eafd28f118366b06a.png?1390149970,Welcome,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/182/1/2/medium/2/598c40da1906fc11157462d577b4cf1166a4a2db.png?1390149973,Social connect,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/182/1/2/medium/3/569f6f1505d62987b2c0d3e12bcef111a73724de.png?1390149975,Second social connect,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/182/1/2/medium/4/0c14ac2d116e90f154498e2668dc87b4828cea74.png?1390149977,Location enabling,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/182/1/2/medium/5/cb122392bdb2c8228b1fe3c290ef3b3860a3fc39.png?1390149980,Camera,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/182/4/2/medium/1/de331dfe702e11b69736805d842815db1bbb8480.png?1390150045,Home feed,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/182/4/2/medium/2/bd62a26303f1f34784371818dc87ca2e6312e670.png?1390150048,Camera,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/182/4/2/medium/3/e8d7721925f860a031bb5b4d903b56c254f36dbb.png?1390150051,Picture,Sharing,3
http://s3.amazonaws.com/uxarchive2/flows/182/4/2/medium/4/a8d6e426ac0bb601bafb9d0f92ba46140d3ad08a.png?1390150053,Question edit,Sharing,4
http://s3.amazonaws.com/uxarchive2/flows/182/4/2/medium/5/67b96bb098a61b37c4a0dab862a00d3fd391be7c.png?1390150055,Home feed,Sharing,5
