imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/150/10/2/medium/1/71127ec2dd89faaef1d553574f9bf78a89e7e554.png?1380784269,Project,Purchasing,1
http://s3.amazonaws.com/uxarchive2/flows/150/10/2/medium/2/ba72f2ad183052beeb7aef1a5b459e70783e01b7.png?1380784281,Kickstarter information,Purchasing,2
http://s3.amazonaws.com/uxarchive2/flows/150/10/2/medium/3/87656bc339a729e5fda9388e2ed248f883ce5f98.png?1380784285,Pledge selection,Purchasing,3
http://s3.amazonaws.com/uxarchive2/flows/150/10/2/medium/4/502fcee4ea343f3eabee884bb9bad1d5158c9960.png?1380784291,Selected pledge,Purchasing,4
http://s3.amazonaws.com/uxarchive2/flows/150/10/2/medium/5/0e56c974d332fda039a80554c4149b34cb61991e.png?1380784295,Amazon connect,Purchasing,5
http://s3.amazonaws.com/uxarchive2/flows/150/10/2/medium/6/884274d393a8ed7573909feff045d2dfb8f1e426.png?1380784301,Amazon login,Purchasing,6
http://s3.amazonaws.com/uxarchive2/flows/150/10/2/medium/7/cdfc3adac24706bc1e0db8eb4e6b259e491a15fd.png?1380784306,Amazon payment authorization,Purchasing,7
http://s3.amazonaws.com/uxarchive2/flows/150/10/2/medium/8/baacd59a0d921ae21513331525227356648eb587.png?1380784310,Backer confirmation,Purchasing,8
http://s3.amazonaws.com/uxarchive2/flows/150/10/2/medium/9/473c7c27510050c33bb009f91b7fb8c195a12351.png?1380784314,Search results,Purchasing,9
http://s3.amazonaws.com/uxarchive2/flows/150/2/2/medium/1/559ff9d7b3d133c54c26def5802b1b86018b06db.png?1380784405,Staff picks,Searching,1
http://s3.amazonaws.com/uxarchive2/flows/150/2/2/medium/2/45986b5993deb5e6087590c810ee3d5578f9bdd4.png?1380784412,Search,Searching,2
http://s3.amazonaws.com/uxarchive2/flows/150/2/2/medium/3/8d41a6a85372aef5d98b1464a2d442688a5ffc9b.png?1380784419,Search results,Searching,3
http://s3.amazonaws.com/uxarchive2/flows/150/2/2/medium/4/a0acce783b83ead071b8a11e3ed70230503d7c69.png?1380784433,Project,Searching,4
