imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/162/1/2/medium/1/32f16eb8b0a5b9827c110a7a843d578d510c36b5.png?1382340929,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/162/1/2/medium/2/a6b7ea295303cf0e756ef27cac6112ad1e966d67.png?1382340932,Sign in,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/162/1/2/medium/3/a2fc58c3afa08dbee9d03f251f01730829557a13.png?1382340933,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/162/1/2/medium/4/8bca6c911b4f3538caf040ccbeee14c3e0fb44bc.png?1382340936,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/162/1/2/medium/5/254b8942e5fd9c23fb1b93ee840d4fe8bc18bab1.png?1382340938,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/162/1/2/medium/6/343ba35509f8bf2e2f2a97399bf5a5ee94646bf7.png?1382340941,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/162/1/2/medium/7/7f0050c8adcf02e1cc3b85ef9dc40833c8e6b825.png?1382340943,Sign in,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/162/1/2/medium/8/2b2b86bcda6aadacee655dea323d0cf77ada748c.png?1382340945,Sign in edit,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/162/1/2/medium/9/7771fb7e9d959339989af950c8f5030f53eadb18.png?1382340947,Personal level,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/1/6ee2ce87c730971252f68e908178201d1483d4ec.png?1382341706,Sign in,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/2/0ba9ee5a19acc22e5168127d0232ea295b3d1a32.png?1382341709,Tutorial,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/3/dcccd00287c41426a4a365a5229e6b318e5afb4e.png?1382341711,Profile edit,Signing up,3
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/4/4ea7b44d38939f07a5a7c2fc0ad772ef00227620.png?1382341713,Bank setup message,Signing up,4
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/5/95486ff07f0a18488cc5f542284a3fb2869be655.png?1382341716,Bank list,Signing up,5
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/6/e30eba7f541ddb2c0b6202f3612105cb61663bf6.png?1382341718,Bank info edit,Signing up,6
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/7/3f5deecce48afdacdb13e5623a500d24fb710b6f.png?1382341720,Account list,Signing up,7
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/8/efc0202ee8eae202865a5af6477a6dd4526a4bcb.png?1382341722,Account summary,Signing up,8
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/9/fd6dde15e0a1176b91b47cf4b28b1d5fbdf9e41e.png?1382341724,Tutorial,Signing up,9
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/10/265c082d94a7e6a1b0d26cfecc34b4e2651e2d9e.png?1382341727,Income list,Signing up,10
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/11/a9e16ee7152adc3ac1af5c179d2bb8975e2e63bc.png?1382341729,Bills list,Signing up,11
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/12/6bfdfcf8c3208eabe5d1a83a2768fbf6eb6cc960.png?1382341731,Autosave edit,Signing up,12
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/13/c25a394e0c68f0c9a853c46c1e95ec500a107a5f.png?1382341733,Plan confirmation,Signing up,13
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/14/116324b86a9352a0670ed10d6110c89c48d287a1.png?1382341735,Alert,Signing up,14
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/15/717914fcb36b41ffbf557b8b8d6271a498282d23.png?1382341737,Spendable,Signing up,15
http://s3.amazonaws.com/uxarchive2/flows/162/7/2/medium/16/75dfb2a8206d7d964519e6b38ea49e5d70bbeb54.png?1382341740,Personal level,Signing up,16
