imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/1/ce43bc5f432509b5286409953f1ddd0c4da542e1.png?1390187597,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/2/cb9f212b837e1db2d29f86986f03f8e4269a2a96.png?1390187599,Tutorial options,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/3/7e6f6fbbfc1ad66a2ba3e28e9f8f79fe620dedfd.png?1390187600,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/4/4b698f6f5126da103625f904a91ec6f2d026d9d7.png?1390187602,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/5/84b28e8447b1e83a520fb305326103ffaee114da.png?1390187603,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/6/f7ce16832d901ff7b2bd48251833ddbcec06a1b3.png?1390187605,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/7/6debfaa2978643abfb27fce222a72e84b79258d7.png?1390187607,Tutorial,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/8/b50a6997f2e4edccd9dfa1ce665e4913b63c0834.png?1390187608,Tutorial,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/9/e82e37f4e635e57920ff2450c0298d019ef0bdad.png?1390187610,Tutorial,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/10/10de81568a088be018be7a6f1068bd7f3cbcc78a.png?1390187612,Tutorial,Onboarding,10
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/11/6b147b58943552db6708f6fcbe271c7e4ef7a55c.png?1390187613,Tutorial,Onboarding,11
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/12/6d4dfcd7660521b383118475a0f5357e6a14c00c.png?1390187615,Tutorial,Onboarding,12
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/13/fb75088bbdeb598f40564094ea377906cde051fc.png?1390187616,Tutorial,Onboarding,13
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/14/16f406c2a7a04cce66d42b4e803dba53109a489f.png?1390187618,Tutorial,Onboarding,14
http://s3.amazonaws.com/uxarchive2/flows/184/1/2/medium/15/b6411f7f3556a7372ebbede83e7160e0e50607f3.png?1390187619,Note list,Onboarding,15
