imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/168/21/2/medium/1/3f44e01bf54feda5f31087e6b12a50fc37bc4e9c.png?1384281321,Restaurant list,Booking,1
http://s3.amazonaws.com/uxarchive2/flows/168/21/2/medium/2/15915d6bc6250d200e1be0340a7f8012778c3543.png?1384281328,Restaurant,Booking,2
http://s3.amazonaws.com/uxarchive2/flows/168/21/2/medium/3/76f65fd56367a5c85f93cd5e69a3e1f97ba1f610.png?1384281339,Reservation details,Booking,3
http://s3.amazonaws.com/uxarchive2/flows/168/21/2/medium/4/4ae683b14696020d67fc1da1af5c3156a4c4de06.png?1384281343,Reservation confirmation,Booking,4
http://s3.amazonaws.com/uxarchive2/flows/168/21/2/medium/5/c5e325dbda0b14299ed7a1dc1a56d477b162ded7.png?1384281346,Restaurant,Booking,5
http://s3.amazonaws.com/uxarchive2/flows/168/1/2/medium/1/1648c813b63559c84f6c7c17a730eda55d9c020e.png?1390881697,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/168/1/2/medium/2/e64a01ab37846f26eabcfde2ef35a53fe05c1ce7.png?1390881699,Tutorial,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/168/1/2/medium/3/b80b1b5317f44a98b31a11b271589ed4264ef19f.png?1390881701,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/168/1/2/medium/4/75d7d8fc65b0fedbc197f1a8457f9cc256afed99.png?1390881703,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/168/1/2/medium/5/b70319e1ab33780fdf903e20c45a846d81f16293.png?1390881705,Restaurant list,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/168/2/2/medium/1/699963eb31b21057ec63221b4a17d5e736aa8aac.png?1384280909,Nearby restaurants,Searching,1
http://s3.amazonaws.com/uxarchive2/flows/168/2/2/medium/2/63ae647031d677f983e2c2c006268ff1a84ec8dd.png?1384280914,Search options,Searching,2
http://s3.amazonaws.com/uxarchive2/flows/168/2/2/medium/3/c4bd48a536db0370a26d5d132a6ce2c774fadda7.png?1384280917,City,Searching,3
http://s3.amazonaws.com/uxarchive2/flows/168/2/2/medium/4/bdcbe7d8a92605afa45dff57025f1b476cd85ea4.png?1384280920,Search options,Searching,4
http://s3.amazonaws.com/uxarchive2/flows/168/2/2/medium/5/7751e6d3a65361369979dd59845429c959d0e04a.png?1384280923,Cuisine type,Searching,5
http://s3.amazonaws.com/uxarchive2/flows/168/2/2/medium/6/6f21c16f9bc875bc5996ba46601fea3c786e7280.png?1384280927,Search options,Searching,6
http://s3.amazonaws.com/uxarchive2/flows/168/2/2/medium/7/e842334bdc6a54dcc155bae6ff90e6c0bb7f8f29.png?1384280930,Search results,Searching,7
http://s3.amazonaws.com/uxarchive2/flows/168/2/2/medium/8/2b9d2055b874aea8f20fc9bc73b488abb6f0353c.png?1384280933,Restaurant,Searching,8
