imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/193/1/2/medium/1/37fa38dd0a849b263dd02b0f1c21a3f4a9d2f48f.png?1391976309,Onboarding,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/193/1/2/medium/2/ebff02810782cb05ac2ccc4e3aa7e317a63387c6.png?1391976312,Tutorial,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/193/1/2/medium/3/dc38e2314c510ff5bc11a576739a10023e29d165.png?1391976314,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/193/1/2/medium/4/37f84e58071dc9dbef566fcf001c1c8a46d071d3.png?1391976317,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/193/1/2/medium/5/495baa3dee55d4a3d9d9e1fea2589e49b71da07c.png?1391976320,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/193/1/2/medium/6/63cafe202e3f89dcbac84f8d428486f3b753dd93.png?1391976322,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/193/1/2/medium/7/10a7f00690ecee4258d104b20c68adee2c157bff.png?1391976328,Categories,Onboarding,7
http://s3.amazonaws.com/uxarchive/flows/193/4/2/medium/1/ff98051daa725c6283eb8fd086b995399e8491ff.png?1391976912,Card category list,Sharing,1
http://s3.amazonaws.com/uxarchive/flows/193/4/2/medium/2/a94e8c0163b8ecda1f6f07d2f26bca9c9add4f34.png?1391976914,Card list,Sharing,2
http://s3.amazonaws.com/uxarchive/flows/193/4/2/medium/3/6b9ecfaab4fbd08f85eb323eabece533cb1c0e7e.png?1391976916,Selected card,Sharing,3
http://s3.amazonaws.com/uxarchive/flows/193/4/2/medium/4/f8563af21f0256726ddeb1ffb4db5f53bbd9f0ac.png?1391976919,Card design,Sharing,4
http://s3.amazonaws.com/uxarchive/flows/193/4/2/medium/5/44c19b12cb0a3678a9ea3ef108e161d41e4e19cc.png?1391976922,Message edit,Sharing,5
http://s3.amazonaws.com/uxarchive/flows/193/4/2/medium/6/87328c063cfc85634832f9cb51cf8832e898329d.png?1391976924,Message preview,Sharing,6
http://s3.amazonaws.com/uxarchive/flows/193/4/2/medium/7/2d30329945c2b305a5c428e32ad71b95eddf6bcd.png?1391976927,Envelope,Sharing,7
http://s3.amazonaws.com/uxarchive/flows/193/4/2/medium/8/4c396fc53d466cb7c4c83e812a725817f70be897.png?1391976929,Mail edit,Sharing,8
http://s3.amazonaws.com/uxarchive/flows/193/4/2/medium/9/237344db7c30710270f3dffe7a02809d1910dc85.png?1391976931,Card information,Sharing,9
