imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/1/e1db8afab1c37de6cb9a43151334615d31007f98.png?1412138467,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/2/cd6d8ef60d402ac310fdc976739486d770fd486f.png?1412138469,Log in,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/3/740a18dc13b746b5020e7dc9ddaed88c97db428d.png?1412138470,Log in info,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/4/7f191781021c658a7f4658f852b565aa14d8e78b.png?1412138471,Phone number,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/5/ef5bbf58d5ebb4d4d26a903de803e333aed7c5a8.png?1412138472,Confirmation code,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/6/bf541217ba73185873f15835e3267f32508423dc.png?1412138474,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/7/dd73f85b46404c0567595a5e8cdda922aa169c8f.png?1412138475,Tutorial,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/8/df69daa7e962ac3d2aaf8f9e7d1af91c8e87f1d7.png?1412138477,Tutorial,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/9/c63356e4a13108bfdb9f25921b9e8c7d4abbe846.png?1412138478,Feed,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/10/8e961fe3a59758fe2355a678e896ac5a02693967.png?1412138480,Moment options,Onboarding,10
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/11/574cdc16417f202158cf6b668d14e5fdfb00714f.png?1412138481,Message edit,Onboarding,11
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/12/97bc09841e0c4f4e7fa6e5195b71ac6ec8e61ec3.png?1412138483,Message edited,Onboarding,12
http://s3.amazonaws.com/uxarchive2/flows/2/1/2/medium/13/ef9a4a016f637c3ef6354a61b7f2351ecdf47be4.png?1412138484,Message posted,Onboarding,13
http://s3.amazonaws.com/uxarchive2/flows/2/10/2/medium/1/c62a7a3caeace57974488092525027d611d9a9f0.png?1379448046,Friends updates,Purchasing,1
http://s3.amazonaws.com/uxarchive2/flows/2/10/2/medium/2/6a868b80a6d0297cfdf2cfbfd91bc86b2b48c755.png?1379448047,Upgrade sheet,Purchasing,2
http://s3.amazonaws.com/uxarchive2/flows/2/10/2/medium/3/0b19435dea183c57fdbbc17bc15f2831fea0444a.png?1379448049,Purchase confirmation,Purchasing,3
http://s3.amazonaws.com/uxarchive2/flows/2/10/2/medium/4/a3bae1de21ec40f25f1802568cc2374aefc422e1.png?1379448051,Apple ID password,Purchasing,4
http://s3.amazonaws.com/uxarchive2/flows/2/10/2/medium/5/13c520cc50721f51c5a191f36181cc2ec0ba0ec9.png?1379448053,Upgrading,Purchasing,5
http://s3.amazonaws.com/uxarchive2/flows/2/10/2/medium/6/f437e63fb13fe9f63aa06dc5a819d3c1a7a18759.png?1379448054,Upgrade confirmation,Purchasing,6
http://s3.amazonaws.com/uxarchive2/flows/2/10/2/medium/7/8f36cc41174c19783994af3783e34226d569423f.png?1379448056,Shop,Purchasing,7
http://s3.amazonaws.com/uxarchive2/flows/2/10/2/medium/8/2be5124e6d54acc6c4957c76f37346c44582c8b4.png?1379448058,Friends upgrade,Purchasing,8
http://s3.amazonaws.com/uxarchive2/flows/2/2/2/medium/1/f8ac7f5d1698c65552358b4cebf830faf6c2b89a.png?1412138693,Feed,Searching,1
http://s3.amazonaws.com/uxarchive2/flows/2/2/2/medium/2/82e677646c82e436497aa6f1032a0ef8fa4a9240.png?1412138696,Search,Searching,2
http://s3.amazonaws.com/uxarchive2/flows/2/2/2/medium/3/26cb0be0eb2cd205ce8beeb40dd0b7f214aeac63.png?1412138698,Searching,Searching,3
http://s3.amazonaws.com/uxarchive2/flows/2/2/2/medium/4/337925db8c8889ffe496e22e665d5b965c2d58cb.png?1412138700,Search result,Searching,4
http://s3.amazonaws.com/uxarchive2/flows/2/2/2/medium/5/cbeb56566dcaf19a9bbd1251e01b720ce2f6a546.png?1412138702,Song,Searching,5
http://s3.amazonaws.com/uxarchive2/flows/2/4/1/medium/1/79a1509d7764ad13723c3576db3cc857adde100d.png?1355176801,Main Screen,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/2/4/1/medium/2/181db08efe21b537163843fb34079e0e57f1da8c.png?1355176804,Sharing Options,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/2/4/1/medium/3/ab7daffe32bf506d031b114eef80526299b37c66.png?1355176807,Songs List,Sharing,3
http://s3.amazonaws.com/uxarchive2/flows/2/4/1/medium/4/109810c7487ef05767125099e53f09f3c86cc685.png?1355176809,Default Field,Sharing,4
http://s3.amazonaws.com/uxarchive2/flows/2/4/1/medium/5/9c776cb17e98a50867b2cc0362994307ccf02e38.png?1355176811,Filled Out,Sharing,5
http://s3.amazonaws.com/uxarchive2/flows/2/4/1/medium/6/9696ec7d60cb96ac1044499b4642938bff45bae6.png?1355176813,Music Shared,Sharing,6
http://s3.amazonaws.com/uxarchive2/flows/2/7/2/medium/1/4301f6d72887f8e4b109ef7853381a44e908d12b.png?1364694653,Log in screen,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/2/7/2/medium/2/179a3f3efdde4c1ec198aec850dfe06e033548eb.png?1364694655,Create account,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/2/7/2/medium/3/e984984e8087e90801694dcf8be9ce5be6a35e1d.png?1364694657,Sign up form,Signing up,3
http://s3.amazonaws.com/uxarchive2/flows/2/7/2/medium/4/102f8718a3d525813888c881434ad5aca9b36a06.png?1364694658,Find Facebook friends,Signing up,4
http://s3.amazonaws.com/uxarchive2/flows/2/7/2/medium/5/2ace453131cac5806cdb380b777b85042a4e0f6c.png?1364694659,Facebook connect,Signing up,5
