imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/1/9a90adb067331e7bdc2ac8773d02c447e1315e79.png?1391015364,Calendar,Creating,1
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/2/7145a48961b0364cebd0251b4ff1dab4d2ebc2ed.png?1391015366,Event edition,Creating,2
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/3/01768be3f7823427c87a1dbd21120063ac9ba421.png?1391015368,Event title,Creating,3
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/4/65ff530727384273c88b261772c5f491cbeeaa7b.png?1391015369,Event edition,Creating,4
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/5/567e183a7bc96a520e73c67a4c8b9088b9d8adb8.png?1391015371,Event start time,Creating,5
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/6/390e0a45a61d466c65800e4ac1e0585a698b7574.png?1391015372,Event edition,Creating,6
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/7/8e0502f3e858299ef4497297cff4c56b9333be11.png?1391015374,Event duration,Creating,7
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/8/eed958c6e13f81fe47d39effc8a2cb8e71e539bb.png?1391015375,Event edition,Creating,8
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/9/d844fc949bb7fcba796f7da943732f698db9e45c.png?1391015377,Event location,Creating,9
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/10/edaf5b6592c0e9425c08d48d609675bf7b6cb028.png?1391015378,Event edition,Creating,10
http://s3.amazonaws.com/uxarchive2/flows/188/11/2/medium/11/f5db9c0a3dc8b7d5af7181732377b0d27f30e1ac.png?1391015380,Calendar,Creating,11
http://s3.amazonaws.com/uxarchive2/flows/188/1/2/medium/1/58a22fe5a38fe0a6d605baae927623f6b86333d8.png?1391015565,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/188/1/2/medium/2/108c709ea3941823644264f91b4cca145b52dba2.png?1391015567,Calendar,Onboarding,2
