imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/147/20/2/medium/1/6f019d14266f4d40726eb79dc8d51d2a25ea7140.png?1380697188,Top stories,Consuming,1
http://s3.amazonaws.com/uxarchive2/flows/147/20/2/medium/2/6aa2f1f8b4ecad70a9c1d38eae5e871000b47de3.png?1380697190,Question page,Consuming,2
http://s3.amazonaws.com/uxarchive2/flows/147/20/2/medium/3/e44e71f08f23457a7bbad01247589a6170f6edc9.png?1380697191,Question page,Consuming,3
http://s3.amazonaws.com/uxarchive2/flows/147/20/2/medium/4/c611f95effd3efa8165ecae6948b6bbcf953f626.png?1380697193,(Other) Question page,Consuming,4
http://s3.amazonaws.com/uxarchive2/flows/147/1/2/medium/1/f36307883661ec5dcdd52097e4945c9bd6a258a7.png?1380696720,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/147/1/2/medium/2/6bf191b7436df4c85373899825e56c5dbdd8cd36.png?1380696722,Sign up / Sign in,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/147/1/2/medium/3/e9990fdea3cf07316c8bade4ada2c61845a3b686.png?1380696724,Login info,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/147/1/2/medium/4/73ba0f3202bd3f3fd85dcf446bb9e0ce8772f6bf.png?1380696725,Top stories,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/147/2/2/medium/1/744aa3e59da00f574ee77b9c41dbde0631efd81b.png?1380696962,Top stories,Searching,1
http://s3.amazonaws.com/uxarchive2/flows/147/2/2/medium/2/b3d406e2dc0d326e3a91729e721e972ffb2486dd.png?1380696965,Search,Searching,2
http://s3.amazonaws.com/uxarchive2/flows/147/2/2/medium/3/71cfea48028228c04579307db681d90ab04bdd90.png?1380696967,Searching,Searching,3
http://s3.amazonaws.com/uxarchive2/flows/147/2/2/medium/4/4199cdfea07a316e4874d82d8fbbe912375fe174.png?1380696969,Search results,Searching,4
http://s3.amazonaws.com/uxarchive2/flows/147/2/2/medium/5/679586ae81b01fb03c6cc38f52f2af29e72a2e5a.png?1380696971,Question page,Searching,5
http://s3.amazonaws.com/uxarchive2/flows/147/7/2/medium/1/e4b3e5171cc550e3d0bca42233e1c2c5adae5b62.png?1381357178,Sign up,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/147/7/2/medium/2/fe37d46f9099f0892cb492a680dc085771fbd363.png?1381357180,Account edit,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/147/7/2/medium/3/71ea27106b1be017741fe533d6716039c3203d39.png?1381357182,Topic selection,Signing up,3
http://s3.amazonaws.com/uxarchive2/flows/147/7/2/medium/4/1733ce2cafc3a53c36038f58244900f43435b82c.png?1381357185,Home feed,Signing up,4
