imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive/flows/191/16/2/medium/1/546d2f921d8a5ba44d9ac96ed305cc1220245a58.png?1391712982,Dashboard,Adding,1
http://s3.amazonaws.com/uxarchive/flows/191/16/2/medium/2/21ed9e5c84e3eeac4c6b68efff2833a95038b23f.png?1391712984,Metadata,Adding,2
http://s3.amazonaws.com/uxarchive/flows/191/16/2/medium/3/d593dd5316c02589ded2fd7e564ee09801ae9ea9.png?1391712986,Question (Work),Adding,3
http://s3.amazonaws.com/uxarchive/flows/191/16/2/medium/4/23b3f303de6c111c5c12c4aa2d055bbaa01e525a.png?1391712987,Question (Activity),Adding,4
http://s3.amazonaws.com/uxarchive/flows/191/16/2/medium/5/422cd8f674f98014efe1aac8b21088baabbc717b.png?1391712989,Location,Adding,5
http://s3.amazonaws.com/uxarchive/flows/191/16/2/medium/6/c9e993ce266f192c411cf04a166a2855a351fd5f.png?1391712990,Question (People),Adding,6
http://s3.amazonaws.com/uxarchive/flows/191/16/2/medium/7/12fc9303d15bff667525f0140b5656d3ddba4245.png?1391712992,Dashboard,Adding,7
http://s3.amazonaws.com/uxarchive2/flows/191/1/2/medium/1/d2180c2fd9aef0d45b32bd690e49bc4769147269.png?1391712599,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/191/1/2/medium/2/2c21ed1c625469d010cdae90fc0ea138e3684a14.png?1391712602,Tutorial,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/191/1/2/medium/3/0356c21d41748bef0d0b4561b3e52842a7694c93.png?1391712604,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/191/1/2/medium/4/153afa4bb68d5b2c82a3f9e37bb5b2541e07d38c.png?1391712606,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/191/1/2/medium/5/5de4881652de12272c986f073e42f74c5c05253a.png?1391712608,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/191/1/2/medium/6/f5e65c907b4b575e0f5fbb8725e772716c43f313.png?1391712610,Dashboard,Onboarding,6
