imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/1/29608927bf497ce0c01e2f2e7f2ca6f5256b638b.png?1390882240,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/2/8bca47d96ea30c10cd064fd463ff3e2a9f2a7f2b.png?1390882242,Tutorial,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/3/87df56abdf4ca9acea531ea0ab921c7652ff3f51.png?1390882244,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/4/cc5340eb26c7c3ce190c8f79b11f50f875135dce.png?1390882246,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/5/b1b07d70a9fbee0e384494b55c725b68e7fbfe89.png?1390882249,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/6/0d0eae755713ca4c90aeb0627473581b1500350b.png?1390882252,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/7/8122be2926ec9e7682849080efc9c2e90a997199.png?1390882256,Tutorial,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/8/624263d70b7c506f90deb8218571dc190dd91730.png?1390882260,Home feed,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/9/e39224d185fa64735cfabc7974afc0baae0033af.png?1390882263,Tutorial,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/10/59ac80bb3ff1b7c1bb018e3dc90eeac8cc1756d6.png?1390882266,Tutorial,Onboarding,10
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/11/60fc2cd949bd97e39fe001080d7d4dbd68f73f51.png?1390882269,Tutorial,Onboarding,11
http://s3.amazonaws.com/uxarchive2/flows/185/1/2/medium/12/40f71f1f4b8fa42c3edf49ef54686f2237d96a08.png?1390882273,Profile,Onboarding,12
http://s3.amazonaws.com/uxarchive2/flows/185/24/2/medium/1/901de5c03b3585e8a0568b3fa84111dd63857185.png?1390882530,Profile,Reporting,1
http://s3.amazonaws.com/uxarchive2/flows/185/24/2/medium/2/1f5525947939278446f84260b947572505596e72.png?1390882533,Video,Reporting,2
http://s3.amazonaws.com/uxarchive2/flows/185/24/2/medium/3/fca213253bd0f3f35550b7ca31a51455be7031ce.png?1390882535,Reporting type list,Reporting,3
http://s3.amazonaws.com/uxarchive2/flows/185/24/2/medium/4/2b83482ee06c9d321871c00307a650970168f68e.png?1390882537,Confirmation,Reporting,4
http://s3.amazonaws.com/uxarchive2/flows/185/24/2/medium/5/34ca3b4d94af47e40fdbcc655d1dd1e33531968d.png?1390882540,Video,Reporting,5
