imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/192/1/2/medium/1/fb693e3c54ac6c421776f6d5929154527765ef00.png?1391729962,Sign up,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/192/1/2/medium/2/8471ecab18bddc18452f07503caa4e9fae03ef59.png?1391729963,Sign up form,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/192/1/2/medium/3/1b0ea976f5d11a9c2b7ac7519b98e4f30fba1de1.png?1391729965,Find friends,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/192/1/2/medium/4/055e58786da72619a5055042e62a58e3e27b5068.png?1391729966,Home feed,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/192/4/2/medium/1/dcccdbe329dadb0951944f1440c61926430d2f4a.png?1391974931,Home feed,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/192/4/2/medium/2/51c608251b0788f02da908ef7925db91c1e3bbd4.png?1391974935,Message edit,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/192/4/2/medium/3/3f2f4c853d39b062510b13d103c7874ea2486d76.png?1391974937,Photo options,Sharing,3
http://s3.amazonaws.com/uxarchive2/flows/192/4/2/medium/4/18382e027ded490cf49d701c7f63bb72f4d15e9f.png?1391974940,Camera,Sharing,4
http://s3.amazonaws.com/uxarchive2/flows/192/4/2/medium/5/7df2c23ea8bdd9daaca85d4ea521cc0a03b4ee4b.png?1391974943,Message edit,Sharing,5
http://s3.amazonaws.com/uxarchive2/flows/192/4/2/medium/6/bddb8cd72cb4cc6df04314d153ad3d7965863bb8.png?1391974946,Home feed,Sharing,6
