imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/210/1/2/medium/1/5c3acb05afabb220e105d15f9f01b0d89cd652bf.png?1412784723,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/210/1/2/medium/2/6e94a619b6b5e2876bcbcfdf10288b6cb803397c.png?1412784724,Enable notifications,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/210/1/2/medium/3/d6377ad6f566f7950ce14a8380f0bd4819440ffa.png?1412784725,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/210/1/2/medium/4/961babfb7c694f79bc5806f127b78ff577bbb8bd.png?1412784727,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/210/1/2/medium/5/c857f9bf15c85ee12c41eda052d41956645a5f60.png?1412784728,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/210/1/2/medium/6/7ef2531ce4b99e4cad8a50a7a8be46d722998e31.png?1412784729,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/210/1/2/medium/7/4b85ad3add6fc7abce433eb0f00340c62a16bba1.png?1412784731,Email,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/210/1/2/medium/8/3b6957ef856a73e1e12995eb5946f6b24512b7d0.png?1412784732,Password,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/210/1/2/medium/9/1f1001ee92719404d915863d2db7040a38858bb8.png?1412784733,Enable location,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/210/1/2/medium/10/ef1a14fb857787ef73125a524d4567e7fcca1807.png?1412784735,Local business list,Onboarding,10
http://s3.amazonaws.com/uxarchive2/flows/210/10/2/medium/1/dac74f2ae7caaec84490229d2613f8635a1e5905.png?1412785543,Home,Purchasing,1
http://s3.amazonaws.com/uxarchive2/flows/210/10/2/medium/2/8e459194584c997f0f117a1e6a9ec324f734ca85.png?1412785545,Local businesses,Purchasing,2
http://s3.amazonaws.com/uxarchive2/flows/210/10/2/medium/3/7ed011a7ff52b33d9e86cba7f953accc59ad476e.png?1412785546,Menu,Purchasing,3
http://s3.amazonaws.com/uxarchive2/flows/210/10/2/medium/4/b9f874d0298b0fbfccdd3638b7734a90fc8e5fe0.png?1412785548,Item,Purchasing,4
http://s3.amazonaws.com/uxarchive2/flows/210/10/2/medium/5/94f05fb178e052fdbd8b5ff33e64db49a7310b4e.png?1412785549,Cart,Purchasing,5
http://s3.amazonaws.com/uxarchive2/flows/210/10/2/medium/6/8dcdc24774fa3076c2f042bf4d1fd4c7cf65b32c.png?1412785550,Order summary,Purchasing,6
http://s3.amazonaws.com/uxarchive2/flows/210/10/2/medium/7/332a3270a8f2b91ffed3220270dcb3c40e4b4251.png?1412785552,Order confirmation,Purchasing,7
http://s3.amazonaws.com/uxarchive2/flows/210/10/2/medium/8/c83b1a45aee6d31ca36a398bce38830a45439e0c.png?1412785553,Order summary,Purchasing,8
