imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/1/505bd3863033dd61b46bd6e1dbe5b29c40c6e656.png?1356683886,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/2/9b88e817c563cd7caa14713fe95bf08e7be151ec.png?1356683889,Location authorization,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/3/973f1c96395900609d8f45c11509c577b31a8ba0.png?1356683891,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/4/7b857aa6024b67de00071bb3bcb1bcc67f3118db.png?1356683892,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/5/f0cb2b2fe119e2aa97a3f24ae91584a87d5f45df.png?1356683893,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/6/cc7fcc6253be238aa81797dd7671ec96b0b6a776.png?1356683895,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/7/00b57cc042dd0b24a5dbe7d798b49b6a7a148cf8.png?1356683897,Tutorial,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/8/9e538457bcc16ebbc3ead88707801b5bd551c454.png?1356683898,Tutorial,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/9/0154a7349cfc6b6e36510dc17ca8d9a760fd7f55.png?1356683900,Tutorial,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/10/239de7a180477cf080dddb349b5ba73b94c669c9.png?1356683901,Tutorial,Onboarding,10
http://s3.amazonaws.com/uxarchive2/flows/23/1/2/medium/11/31231407e273e160299e427771c3ee3720d23fa4.png?1356683902,Write a note,Onboarding,11
