imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/1/811427786fc2bcc7e25efb8e0f78a8c95df8cf3b.png?1380835432,Event list,Creating,1
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/2/f87f3b9311057a5d2c9daf5e0f313e0dcd2bf58f.png?1380835436,Event edit,Creating,2
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/3/ee5e47984c0d88956c767a31a7a4967b57ae0257.png?1380835440,Name searching,Creating,3
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/4/1288a5cd25d8a718f4aebad58b635c8221872202.png?1380835444,Event edit,Creating,4
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/5/ae1c46f6c12aaabb523eef632fd5497702befa8e.png?1380835447,Start edit,Creating,5
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/6/68e51c639625cc5a7cbfd9aeca4af83088254aad.png?1380835450,End edit,Creating,6
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/7/6bd6253364a306e80167275c3c7946f3f23072c3.png?1380835453,Event edit,Creating,7
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/8/d1142b11791e60f62c647cb58722f589e5ce1d8e.png?1380835456,Location search,Creating,8
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/9/22fdae159bbb0354d40e7068fde88ccf32fd0ece.png?1380835460,Search results,Creating,9
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/10/990c330313403c6c1bbf11648752a30386053ee0.png?1380835463,Event edit,Creating,10
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/11/b5335adbeb45e6fcd62ecb771668388b854b888b.png?1380835466,Invitation options,Creating,11
http://s3.amazonaws.com/uxarchive2/flows/34/11/2/medium/12/229cc25312b416715f4cb1fd240ba7ffa37c660c.png?1380835469,Event list,Creating,12
http://s3.amazonaws.com/uxarchive2/flows/34/1/2/medium/1/2c90b0e495b005da5c5c73fbf67e28f31c13b3de.png?1380932024,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/34/1/2/medium/2/7d504b8383f568588ece16665c53f2e6bd98ae41.png?1380932026,Welcome,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/34/1/2/medium/3/77cf989fb96ee5c8ed5c45e0c62b89fd3383f206.png?1380932028,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/34/1/2/medium/4/9d10fdee9ffe61eb7d8d99eedd580f0ad9dbe9db.png?1380932030,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/34/1/2/medium/5/59506d99f1558eacdf7662acb0ccb9919061567e.png?1380932032,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/34/1/2/medium/6/7b6dce8c524a7807454f391ee5132c03b9db6904.png?1380932033,Social connect,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/34/1/2/medium/7/57e1db4ae18f43596b5e1ee268b93739bef0caec.png?1380932035,Calendars list,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/34/1/2/medium/8/3c5a22b6108e7ba6c0e46d865bdc3358f06996d4.png?1380932037,Event import,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/34/1/2/medium/9/2ab1ebca49760bef2da40cd3fc3a6c12ecb8f451.png?1380932039,Calendar,Onboarding,9
http://s3.amazonaws.com/uxarchive/flows/34/7/2/medium/1/3e54ce030b6df8d147ba2ae5620c4ac26b6b69be.png?1364944790,Log in screen,Signing up,1
http://s3.amazonaws.com/uxarchive/flows/34/7/2/medium/2/4af5a1211fdabbb41cfa83628f72291ed3bdd8ef.png?1364944793,Account selection,Signing up,2
http://s3.amazonaws.com/uxarchive/flows/34/7/2/medium/3/26ae369b05d96d319f49e5058179ceb9c1740159.png?1364944794,Google sign in,Signing up,3
http://s3.amazonaws.com/uxarchive/flows/34/7/2/medium/4/0c012281117d909ec698c9f7842d4d1b31930bf6.png?1364944796,Google permissions,Signing up,4
http://s3.amazonaws.com/uxarchive/flows/34/7/2/medium/5/f41ee60439be97d61b7107ca8d7c405336b85050.png?1364944797,Account selection,Signing up,5
http://s3.amazonaws.com/uxarchive/flows/34/7/2/medium/6/7dd2888f5a6c2ea20db1b7882dd242ad7bc136b8.png?1364944798,LinkedIn sign in,Signing up,6
http://s3.amazonaws.com/uxarchive/flows/34/7/2/medium/7/8aed6be289c8505cdae908ccce9aeb99fd904c1a.png?1364944799,Account selection,Signing up,7
http://s3.amazonaws.com/uxarchive/flows/34/7/2/medium/8/a909e333ed964cd90fdfd421f4fa378c82ed5ee1.png?1364944800,Data import,Signing up,8
http://s3.amazonaws.com/uxarchive/flows/34/7/2/medium/9/55ea595722ea7e149a8e1822fd9524393b279972.png?1364944802,Calendar,Signing up,9
