imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/135/1/2/medium/1/ab9b30386f4cc024e2803da56561340b90f00554.png?1380393506,Sign in,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/135/1/2/medium/2/632164608be4f348d40bf4b7610ab03660940b80.png?1380393509,Account list,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/135/1/2/medium/3/d1b93f2515c4ef190609b2d33f38d2a72502747e.png?1380393510,To-do,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/135/1/2/medium/4/53131d13f3eac478e446797c7bea6487eaba7ace.png?1380393512,Mark as done,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/135/1/2/medium/5/b8cb946fc5074a94d049a4142135a6d7b248d8a4.png?1380393514,Move item,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/135/1/2/medium/6/a2675a32aa04d05e0a6485e08525f53bec896716.png?1380393516,To-do,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/135/7/2/medium/1/35e9f183137a8fbcd34d256098a77c537179af75.png?1380393333,Sign in,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/135/7/2/medium/2/36ff0ecf09a501e55f4acfaa35d0bed2d50ed4d5.png?1380393337,Browser alert,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/135/7/2/medium/3/9baede3d53d10751085b6681005e377b94cd2a3d.png?1380393341,Subscription form,Signing up,3
http://s3.amazonaws.com/uxarchive2/flows/135/7/2/medium/4/6e400cb31f1c6dc5781d4bd6ac5c3b9fc579b74b.png?1380393345,To-do on browser,Signing up,4
http://s3.amazonaws.com/uxarchive2/flows/135/7/2/medium/5/6e587024975185d8574a7864bc86ba30ff4ac6ad.png?1380393347,App sign in,Signing up,5
http://s3.amazonaws.com/uxarchive2/flows/135/7/2/medium/6/9fa24ec7301c80266ff4c19e3b7bdcd568e4bc9e.png?1380393351,Account list,Signing up,6
