imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/164/20/2/medium/1/a3180117c731b56e2b6cf85ae43a3d9b0b2cbc5a.png?1382750884,Home feed,Consuming,1
http://s3.amazonaws.com/uxarchive2/flows/164/20/2/medium/2/8e2f0b730075b35bf2e00802eea5d5f936d22bc1.png?1382750886,Tweet,Consuming,2
http://s3.amazonaws.com/uxarchive2/flows/164/20/2/medium/3/dcee166442d2a0768ec3e1ce561e63c71fb1de6d.png?1382750890,Image,Consuming,3
http://s3.amazonaws.com/uxarchive2/flows/164/20/2/medium/4/1730b7371271761bf6849c8684ffd5b0dc09c50c.png?1382750893,Tweet,Consuming,4
http://s3.amazonaws.com/uxarchive2/flows/164/20/2/medium/5/e87f6e8a7b2c2fe3830ad357508e02ebf5bc3e37.png?1382750896,Previews tweet,Consuming,5
http://s3.amazonaws.com/uxarchive2/flows/164/1/2/medium/1/00267970331297ef0dd0e49f4216c47630c75874.png?1382749887,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/164/1/2/medium/2/abfc6d67b72a646de98eccc7d52c9f84b1b9e00d.png?1382749889,Twitter authorization,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/164/1/2/medium/3/ebbec6208cd041ac2799c473ba5339bca2f1e449.png?1382749891,Account selection,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/164/1/2/medium/4/9c61becb9c92d7c6294a3c7cac6371c7f2249270.png?1382749893,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/164/1/2/medium/5/f1f96d6b457dd838edd8d530c252a0c49f4520f3.png?1382749895,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/164/1/2/medium/6/36506150809067a1948826b4a485ea5f049ef3dd.png?1382749897,Tutorial,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/164/1/2/medium/7/923500d9348017f62dd6ccabd3ef835e893a3f27.png?1382749899,Follow us,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/164/1/2/medium/8/cfd5f104bf2766afbd3676158386cc3b4a64c0a2.png?1382749900,Home feed,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/164/2/2/medium/1/8172361ef3bbd6ad59b27353f1d92f2b049e9cfd.png?1382750130,Search,Searching,1
http://s3.amazonaws.com/uxarchive2/flows/164/2/2/medium/2/a65d336630aba5beec67ee719b816232e1410c46.png?1382750132,Typing,Searching,2
http://s3.amazonaws.com/uxarchive2/flows/164/2/2/medium/3/ec14c95b852d8cddc3a05abd639a36f7762b200c.png?1382750134,Search results,Searching,3
http://s3.amazonaws.com/uxarchive2/flows/164/4/2/medium/1/3be0f2063468b6f1e156e8f1f661c5f8b62943bf.png?1382750319,Home feed,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/164/4/2/medium/2/6fc43803b664a893980c364502f889083bc9b88f.png?1382750321,Message edit,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/164/4/2/medium/3/0a824490e1949fe18b6095f05db8427c212910a0.png?1382750323,Home feed,Sharing,3
