imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/8/20/2/medium/1/ac172f8e4a71a2a845f7bd814bb98b51bddcb214.png?1386999277,Home feed,Consuming,1
http://s3.amazonaws.com/uxarchive2/flows/8/20/2/medium/2/faa6c5e3804e78aecf0d1cb66d7d5141a817834a.png?1386999279,Tweet,Consuming,2
http://s3.amazonaws.com/uxarchive2/flows/8/20/2/medium/3/f125be8da8feed2f1e411c30a23136297186223f.png?1386999282,Image,Consuming,3
http://s3.amazonaws.com/uxarchive2/flows/8/20/2/medium/4/4de6187059b5fe52e270ead1c19f807ef97b4ca4.png?1386999284,Tweet,Consuming,4
http://s3.amazonaws.com/uxarchive2/flows/8/20/2/medium/5/318139f96caf7aa8e2e8b94ba7c63ffedab715ea.png?1386999285,Reply tweet,Consuming,5
http://s3.amazonaws.com/uxarchive2/flows/8/1/2/medium/1/f464d133e1df9b0ece1cfe03d5c3b16a4479aade.png?1383094204,Welcome,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/8/1/2/medium/2/829fb4f3b1c774a1608da7b126a6f49beae995b2.png?1383094212,Sign up,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/8/1/2/medium/3/a830d6744ec83715150e564bced1ac9569eddeb8.png?1383094213,Home feed,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/8/1/2/medium/4/6b19b2a0341f5e897babec7e7e20beda76b82b2e.png?1383094215,Find friends,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/8/1/2/medium/5/5b788d519ff84db564613753092eccd02fdd3d05.png?1383094217,Invite friends,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/8/1/2/medium/6/62578a7475de783735bd011690ee9c2a31aa79f5.png?1383094219,Suggestions,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/8/1/2/medium/7/d974f632e8a4cc99446fe093d4fb568252791e5a.png?1383094220,Profile,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/8/1/2/medium/8/fc0e011f0bf74c1dbade9516f7b5e374f8c0b8aa.png?1383094222,Home feed,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/8/2/2/medium/1/45d892a71b7497e2e87bd014416cf17d9a145e26.png?1386999588,Home feed,Searching,1
http://s3.amazonaws.com/uxarchive2/flows/8/2/2/medium/2/4adb5af7dddfaa86abdc825646da867ac20594bc.png?1386999590,Search,Searching,2
http://s3.amazonaws.com/uxarchive2/flows/8/2/2/medium/3/6ef7c24ea2c12a2921479faafd9ee6caec603acd.png?1386999592,Searching,Searching,3
http://s3.amazonaws.com/uxarchive2/flows/8/2/2/medium/4/56944ad7d0188a75041f0965f96a0ac81f93bac8.png?1386999594,Search results,Searching,4
http://s3.amazonaws.com/uxarchive2/flows/8/2/2/medium/5/d089a70523a840e79fcb473862947f152024d180.png?1386999595,Filter,Searching,5
http://s3.amazonaws.com/uxarchive2/flows/8/2/2/medium/6/7f318a6797299c857f51a7714b6789837170ab82.png?1386999597,Search results,Searching,6
http://s3.amazonaws.com/uxarchive2/flows/8/2/2/medium/7/99a2fb7c122e400cfb283defea23b58ae460c0f4.png?1386999598,Profile,Searching,7
http://s3.amazonaws.com/uxarchive2/flows/8/4/2/medium/1/4a325a0a922c5eb1d61db5c5bfc9ca2b1e00233d.png?1391975944,Home feed,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/8/4/2/medium/2/59fd1a447f1ff856a451d14f7a7374bf611a8349.png?1391975947,Message edit,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/8/4/2/medium/3/f3ec82c7c978e9fc3ced41377d2a062d99e12a9b.png?1391975950,Home feed,Sharing,3
