imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/51/1/2/medium/1/ae1a500c8078783d31c4fca23fb42b5f3cfd4238.png?1366820290,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/51/1/2/medium/2/90a32f6bdb0c6666ce64806e759daa08b4c9d8cc.png?1366820293,Tutorial,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/51/1/2/medium/3/e1d41a0e5dbb4655b7ebe38d4dc0e538e7727b03.png?1366820296,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/51/1/2/medium/4/432e7d47a5af684f8fdf147187240dccb3b9d19d.png?1366820298,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/51/1/2/medium/5/03832d5d971669750adee0a22371418fa811e42f.png?1366820301,Music connect,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/51/1/2/medium/6/a115a4b206f46cd8d429d7a8065696de13a1675b.png?1366820303,Popular artists,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/51/4/2/medium/1/e7fd3c1c1a1cb00b2660d8ac3f527a22aa2fe17d.png?1366820632,Emerging artists,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/51/4/2/medium/2/b2c96e1440fa8a519218ee82487313b104211d26.png?1366820635,Song,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/51/4/2/medium/3/0279fae89fe3581b636ef05687ce4d09f0c20607.png?1366820636,Tweet,Sharing,3
http://s3.amazonaws.com/uxarchive2/flows/51/4/2/medium/4/fc1f4c6243542429c45e3472af509cf8be0c614d.png?1366820638,Song selection,Sharing,4
http://s3.amazonaws.com/uxarchive2/flows/51/4/2/medium/5/451be8d6a47de9025bd07893acbf0baabee0be6c.png?1366820640,Song,Sharing,5
http://s3.amazonaws.com/uxarchive2/flows/51/7/2/medium/1/9445f2ef2b16bbb9cd5127fce979923de000bbef.png?1366820422,Suggested artists,Signing up,1
http://s3.amazonaws.com/uxarchive2/flows/51/7/2/medium/2/06375d9edf70c4ba241881d47231e5661727d5e8.png?1366820423,Sign up form,Signing up,2
http://s3.amazonaws.com/uxarchive2/flows/51/7/2/medium/3/62334f99e9926db552d47410af6a691e20f6c76c.png?1366820425,Suggested artists,Signing up,3
