imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/40/3/2/medium/1/acc5b56bb3008c384653772c92319a93d100d707.png?1380178927,Vine feed,Exploring,1
http://s3.amazonaws.com/uxarchive2/flows/40/3/2/medium/2/c0ba7f2fc622004ea259513eab00057455035b58.png?1380178930,Menu,Exploring,2
http://s3.amazonaws.com/uxarchive2/flows/40/3/2/medium/3/e03c217127ab0f95e1dedc5603ef2fdc41a80b47.png?1380178932,Explore,Exploring,3
http://s3.amazonaws.com/uxarchive2/flows/40/3/2/medium/4/b456f9f0a131c98de7048f558f7b8ed714f240e8.png?1380178936,Selected feed,Exploring,4
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/1/b6fef65dae99bdda9361e9915762eeb0ead0197d.png?1365199761,Sign in page,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/2/c463a00616a7d83656c7c4fca6058f1a0ba32e13.png?1365199764,Create account,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/3/1e7d73a22f08632fc7c6578fd5a6795aaf19ab58.png?1365199766,Sign up form,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/4/48981bf24290d30b8720b4615fffb7cb8ce6dbc7.png?1365199767,Main feed,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/5/23f8531792bbc4b3f8f1e78603c018603574dd9e.png?1365199769,Walk through,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/6/f55bab3cf1b16dfffe14fd5e987cc39ebfa4f15a.png?1365199771,Walk through,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/7/285ff146b216e78cccd7552d6ca41670a761c89f.png?1365199773,Walk through,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/8/b82e0a08646c5b7ee0e32d8a60288868b3654981.png?1365199774,Walk through,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/9/eef6b06c6a088294dceb81b15b99324e969454f0.png?1365199776,Walk through,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/10/a1fc3c245d506ea1e4b0549b01f81ccb77fcfd3c.png?1365199778,Walk through,Onboarding,10
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/11/c5fc9d2ec2dd07cbf9dd799dd94924d964152bf0.png?1365199779,Walk through,Onboarding,11
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/12/09fa4133ce6f69142df203324226b3b386c8db16.png?1365199781,Walk through,Onboarding,12
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/13/172ff12476083f5cc2e61dc6945cf7daecba753c.png?1365199783,Sharing options,Onboarding,13
http://s3.amazonaws.com/uxarchive2/flows/40/1/2/medium/14/35ce4bb6720421ce9dcc177ed96134beb748a25c.png?1365199784,Main feed,Onboarding,14
http://s3.amazonaws.com/uxarchive2/flows/40/4/2/medium/1/f654a2d1ac92e0f2987df2e97f9d5a25a4da9e98.png?1380176544,Vine feed,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/40/4/2/medium/2/13ddec18c9ed44ecfb47ceef8f0c4633fdb7fadd.png?1380176547,Camera,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/40/4/2/medium/3/762701e6293a90d4e875a2805fac4b8a656bfc20.png?1380176550,Recording,Sharing,3
http://s3.amazonaws.com/uxarchive2/flows/40/4/2/medium/4/755e64aa23387518508ec44596f2cf4b0d559bac.png?1380176552,Done Recording,Sharing,4
http://s3.amazonaws.com/uxarchive2/flows/40/4/2/medium/5/2599b6d013fd21ba64aa4e40c7f650d584d886f2.png?1380176555,Vine options,Sharing,5
http://s3.amazonaws.com/uxarchive2/flows/40/4/2/medium/6/ecf4335bd3142b5373ae5b2f9a364c343d2af412.png?1380176557,Vine posted,Sharing,6
