imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive/flows/222/20/2/medium/1/cfa5217e116e88d87a2d2e14e6f6434d48018148.png?1413869118,News feed,Consuming,1
http://s3.amazonaws.com/uxarchive/flows/222/20/2/medium/2/966dbc6a830fad69fd05b38c17989941357ad0b9.png?1413869124,Article,Consuming,2
http://s3.amazonaws.com/uxarchive/flows/222/20/2/medium/3/3165cdec2d99304addfb71ecb3816a886bf4b7d2.png?1413869131,Article,Consuming,3
http://s3.amazonaws.com/uxarchive/flows/222/20/2/medium/4/ced8d69140a2b0133dff8d247b6394cbceb1024f.png?1413869137,Bottom of article,Consuming,4
http://s3.amazonaws.com/uxarchive/flows/222/20/2/medium/5/5946774557cab39b05f5ef711c23dd0978864649.png?1413869142,Yahoo search,Consuming,5
http://s3.amazonaws.com/uxarchive2/flows/222/3/2/medium/1/7e3013431dfc623f3702ae721ee001098b73a9d4.png?1413869744,News feed,Exploring,1
http://s3.amazonaws.com/uxarchive2/flows/222/3/2/medium/2/55f3abbe5397557b8508d8b5980ab3b1e71c0d99.png?1413869753,Edition list,Exploring,2
http://s3.amazonaws.com/uxarchive2/flows/222/3/2/medium/3/ac9b5d8b77846ef50f00e1894c05e44c187f4c42.png?1413869760,News feed,Exploring,3
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/1/2195a5300349c4aa4f8cca1177157ccf0474044b.png?1413868859,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/2/b2f93f76bcdb2541ef75feab48f0b0866707c64e.png?1413868864,Tutorial,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/3/e9048941a8d83c9f28b2586544953b1d88b21b99.png?1413868869,Tutorial,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/4/8e18608708b0d452f24d19aa4809cc02362c724f.png?1413868875,Tutorial,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/5/350bd20cf2fca41b8ab5d9a062e9613f6886bcc5.png?1413868879,Tutorial,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/6/2b3683ae079e148d257a0b600cdc6ae88231a072.png?1413868883,Enable notifications,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/7/a253c9a15afcc05799e7c907a8ec3bb51a1e6ea0.png?1413868889,Notification settings,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/8/b918d97f246a3ef9b8c3f39864776e5154a7ecf7.png?1413868894,News feed,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/9/11cfc10501795201ee31583445c7efcbb3fc25d3.png?1413868900,Sharing options,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/10/9a83a295195b01d225642ff50bf1b5c6d4ebe6db.png?1413868905,Tweet,Onboarding,10
http://s3.amazonaws.com/uxarchive2/flows/222/1/2/medium/11/7725bb2d9120cd2aa72fa3a6e4d46a7eedd6bade.png?1413868910,News feed,Onboarding,11
