imgUrl,name,flowName,seqInFlow
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/1/daa97033f8fe72339a0b81d63cc54c25c833076b.png?1355804804,Splash screen,Onboarding,1
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/2/064f72984ce14a5304721ff080528e4035ea0279.png?1355804810,Welcome screen,Onboarding,2
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/3/51f377d8f442d6de92a0f4dbf738d3a9cf908eff.png?1355804812,Concept explanation,Onboarding,3
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/4/8192f6b1254aee066a3520d01f0ab39d5918b2c5.png?1355804814,Concept explanation,Onboarding,4
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/5/38e0892f153d4671408a0a216cc04d93bd781840.png?1355804816,Photo access authorization,Onboarding,5
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/6/1da95e1febfe0b15db47bdb1aae021476d72a873.png?1355804818,Google sign in default fields,Onboarding,6
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/7/fdf83df9941c3811b631a715a3a7aae9623f57c4.png?1355804819,Google sign in  filled fields ,Onboarding,7
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/8/b8cba1bdf39657d5a9889f2cee360d06e12ccb5f.png?1355804820,Social connect,Onboarding,8
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/9/3ee4dcafde212750d85313033da11ab112813ba8.png?1355804822,Camera closed,Onboarding,9
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/10/7b6ac1d304b01fd892897cbb672c54ae6f37c464.png?1355804823,Camera tutorial,Onboarding,10
http://s3.amazonaws.com/uxarchive2/flows/22/1/2/medium/11/4637c77527a8454282ec2cde1c4d7eb19611721c.png?1355804825,Camera ready,Onboarding,11
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/1/f8cb8a87fca8d2c59e633fae916f0f0e1283666f.png?1355805279,My video list,Sharing,1
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/2/f90a94b7a207817d96f77bf09d7821d1ae4570f1.png?1355805282,Default message field,Sharing,2
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/3/7a7af09325a8cd20a693c4cf6a48755919853d97.png?1355805284,Filled message field,Sharing,3
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/4/b73d9f832636302dc70e68fce0674b83e12effbf.png?1355805286,Google plus connect,Sharing,4
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/5/ef968f1d439d9601e6c02e090366bdfcde4f6971.png?1355805288,Circle selection,Sharing,5
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/6/3108ef630d2f8b795e3c74cff824ea04984948ed.png?1355805289,Networks selection,Sharing,6
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/7/fdae4f12e43320c1057fbda636b6a7d5cd880931.png?1355805291,Video editing,Sharing,7
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/8/c03a7fd75321b0f12b277c6f0afd597673b69921.png?1355805293,Starting upload,Sharing,8
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/9/f0c8217511efb0e0bc39e0d4cb2183db7c778684.png?1355805294,Uploading,Sharing,9
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/10/bf15e591177580ad881569a44bee5f8971c712b6.png?1355805296,Finishing upload,Sharing,10
http://s3.amazonaws.com/uxarchive2/flows/22/4/2/medium/11/c8d1cee1e67091791f6fbb31a334fab39616e261.png?1355805298,Uploaded,Sharing,11
